question,answer,passage
was brown eyed girl originally brown skinned girl,True,"Originally titled ``Brown-Skinned Girl'', Morrison changed it to ``Brown Eyed Girl'' when he recorded it. Morrison remarked on the original title: ``That was just a mistake. It was a kind of Jamaican song. Calypso. It just slipped my mind. I changed the title.'' ``After we'd recorded it, I looked at the tape box and didn't even notice that I'd changed the title. I looked at the box where I'd lain it down with my guitar and it said 'Brown Eyed Girl' on the tape box. It's just one of those things that happen.''"
is father's day always on the same day,True,"Father's Day is a celebration honoring fathers and celebrating fatherhood, paternal bonds, and the influence of fathers in society. In Catholic Europe, it has been celebrated on March 19 (St. Joseph's Day) since the Middle Ages. This celebration was brought by the Spanish and Portuguese to Latin America, where March 19 is often still used for it, though many countries in Europe and the Americas have adopted the U.S. date, which is the third Sunday of June. It is celebrated on various days in many parts of the world, most commonly in the months of March, April and June. It complements similar celebrations honoring family members, such as Mother's Day, Siblings Day, and Grandparents' Day."
can i play directx 11 games with directx 10,True,"This is a list of games that support DirectX 10 or 10.1 (available for Windows Vista and later). Games which provide backward compatibility for DirectX 10 or 10.1 GPUs via DirectX 11 are listed accordingly in List of games with DirectX 11 support instead. Information regarding developer, publisher, date of release and genre is provided where available."
can you drink in a car in germany,True,"It is however legal to consume alcohol while driving, provided the driver remains under the legal blood alcohol limits."
are cooking oil and vegetable oil the same,True,"There are a wide variety of cooking oils from plant sources such as olive oil, palm oil, soybean oil, canola oil (rapeseed oil), corn oil, peanut oil and other vegetable oils, as well as animal-based oils like butter and lard."
planetary orbits around stars in binary systems are always unstable,True,"Further work on the system showed that the orbits proposed for the candidate planets were catastrophically unstable on timescales far shorter than the age of the system. Indeed, the authors found that the system was so unstable that it simply cannot exist, with mean lifetimes of less than a thousand years across the whole range of plausible orbital solutions. Like other planetary systems proposed around similar evolved binary star systems, it seems likely that some mechanism other than claimed planets is responsible for the observed behaviour of the binary stars - and that the claimed planets simply do not exist."
is the original season 4 of arrested development on netflix,True,"The fourth season of the television comedy series Arrested Development premiered on Netflix on May 26, 2013 and consists of 15 episodes. It serves as a revival to the series after it was canceled by Fox in 2006."
is resident evil 7 vr the full game,True,"Resident Evil 7 is the first full-length game to use Capcom's in-house RE Engine. The development was led by Koshi Nakanishi, director of the 2012 Nintendo 3DS game Resident Evil: Revelations. It was presented as a virtual reality demo, Kitchen, a year prior to its announcement at E3 2016, and supports the PlayStation VR headset. Resident Evil 7 was considered a return to form for the series; critics praised the gameplay, graphics, and design, but criticized the boss battles and the final chapter. The PlayStation VR version received positive reviews, with some criticism including decreased resolution and physical discomfort. By March 2018, the game had sold over five million copies worldwide. Its initial release was followed by two downloadable scenarios, Not a Hero and End of Zoe."
is there an integer that has a reciprocal that is an integer,True,"In the real numbers, zero does not have a reciprocal because no real number multiplied by 0 produces 1 (the product of any number with zero is zero). With the exception of zero, reciprocals of every real number are real, reciprocals of every rational number are rational, and reciprocals of every complex number are complex. The property that every element other than zero has a multiplicative inverse is part of the definition of a field, of which these are all examples. On the other hand, no integer other than 1 and −1 has an integer reciprocal, and so the integers are not a field."
did trinidad and tobago qualify for the world cup 2018,True,"Trinidad and Tobago entered qualification for the 2018 FIFA World Cup in the Fourth Round and was drawn into Group C with Guatemala, Saint Vincent and the Grenadines, and the United States. The team would finish second in Group C with a total of 11 points to qualify for the Hexagonal. However, they would finish in sixth place in the final round with only 6 points, even though they eliminated the United States from World Cup contention with a 2--1 victory in the final match."
is see by chloe the same as chloe,True,"See is a younger line of the Chloé luxury brand. This line manufactures ready-to-wear, handbags, and accessories since 2001. This line of apparel is intended to target the younger generation and is more affordable for those who are starting to become more sophisticated in their styles."
did adam from love island make it to wwe,True,"Maxted left Love Island and continued his wrestling training, eventually earning his debut match in August 2016, at Southside Wrestling, being defeated by Joseph Connors. Maxted later had matches for Preston City Wrestling, Over The Top Wrestling, and 4 Front Wrestling, in 2017. In May 2017, Maxted was called up to have his first WWE Tryout, in the O2 Arena."
is the movie hanna based on a book,True,"Hanna is a 2011 action adventure thriller film that contains some prominent fairy tale elements, directed by Joe Wright. The film stars Saoirse Ronan as the title character, a girl raised in the wilderness of northern Finland by her father, an ex-CIA operative (Eric Bana), who trains her as an assassin. Cate Blanchett is a senior CIA agent who tries to track down and eliminate the girl and her father. The soundtrack was written by The Chemical Brothers."
is the hire act still in effect for 2018,True,"The Hiring Incentives to Restore Employment (HIRE) Act of 2010 (Pub.L. 111--147, 124 Stat. 71, enacted March 18, 2010, H.R. 2847) is a law in the 111th United States Congress to provide payroll tax breaks and incentives for businesses to hire unemployed workers. Often characterized as a ``jobs bill'', certain Democrats in Congress state that it is only one piece of a broader job creation legislative agenda, along with the Travel Promotion Act and other bills."
is there a monsters inc ride at disneyland,True,"Monsters, Inc. Mike & Sulley to the Rescue! is a dark ride attraction at Disney California Adventure at the Disneyland Resort in Anaheim, California. It is based on the 2001 Disney Pixar film Monsters, Inc. It opened on January 22, 2006 with a grand Sulley-Blue-Fur Carpet Premiere."
was wizard of oz originally in black and white,False,"All of the Oz sequences were filmed in three-strip Technicolor. The opening and closing credits, as well as the Kansas sequences, were filmed in black and white and colored in a sepia-tone process. Sepia-toned film was also used in the scene where Aunt Em appears in the Wicked Witch's crystal ball."
is it legal to keep an eagle feather,True,"Under the current language of the eagle feather law, individuals of certifiable American Indian ancestry enrolled in a federally recognized tribe are legally authorized to obtain eagle feathers. Unauthorized persons found with an eagle or its parts in their possession can be fined up to $250,000."
can you steal a base on a strikeout,True,"While not recorded as a stolen base, the same dynamic between batter/runner and defense is on display in the case of an uncaught third strike. The batter/runner can avoid an out and become a baserunner by reaching first base ahead of the throw. This case is a strikeout that is not an out; the batter/runner's acquisition of first base is scored as a passed ball, a wild pitch, or an error."
does the cat die in hide and seek,True,"Following his discovery of the body of his wife (Amy Irving) in a bathtub after her apparent suicide, Dr. David Callaway (Robert De Niro), a psychologist working in New York City, decides to move with his 9-year-old daughter Emily (Dakota Fanning) to Upstate New York. There, Emily makes an apparently imaginary friend she calls ``Charlie''. Her friendship with Charlie begins to disturb David when he discovers their cat dead in the bathtub, who, Emily claims, was a victim of ``Charlie''. Meanwhile, David has nightmares of the New Year's Eve party that occurred the night before his wife died."
can you buy liquor in new york on sunday,True,"Until the mid-2000s, sales of beer for off-premises consumption were prohibited statewide before noon on Sundays, a remnant of a royal decree during the Colonial era, and between 3--6 a.m. any day. Changes to the law made in the last years of Governor George Pataki's administration loosened those restrictions, and now beer sales are only prohibited from 3--8 a.m. Sundays. Counties are free to adjust those hours in either direction, all the way to midnight and noon, and allow 24-hour beer sales on other days of the week."
is the song in the jungle in the lion king,True,"In July 2004, as a result of the publicity generated by Malan's article and the subsequent documentary, the song became the subject of a lawsuit between Linda's estate and Disney, claiming that Disney owed $1.6 million in royalties for the use of ``The Lion Sleeps Tonight'' in the film and musical stage productions of The Lion King. At the same time, the Richmond Organization began to pay $3,000 annually into Linda's estate. In February 2006, Linda's descendants reached a legal settlement with Abilene Music Publishers, who held the worldwide rights and had licensed the song to Disney, to place the earnings of the song in a trust."
do eye patches help you see in the dark,True,"More recent medical texts have often referred to the eye patch as a ``pirates patch'' and writing in the Minnesota Academy of Sciences Journal in 1934, Charles Sheard of the Mayo foundation, pointed out that by ``wearing a patch (The pirate's patch) over one eye, it will keep the covered eye in a state of readiness and adaptation for night vision''. This technique was explored during WWII by institutes such as the United States Navy."
are yellow jackets the same as meat bees,True,"Yellowjackets are sometimes mistakenly called ``bees'' (as in ``meat bees''), given that they are similar in size and sting, but yellowjackets are actually wasps. They may be confused with other wasps, such as hornets and paper wasps. Polistes dominula, a species of paper wasp, is very frequently misidentified as a yellowjacket. A typical yellowjacket worker is about 12 mm (0.5 in) long, with alternating bands on the abdomen; the queen is larger, about 19 mm (0.75 in) long (the different patterns on their abdomens help separate various species). Workers are sometimes confused with honey bees, especially when flying in and out of their nests. Yellowjackets, in contrast to honey bees, have yellow or white markings, are not covered with tan-brown dense hair on their bodies, do not carry pollen, and do not have the flattened hairy hind legs used to carry it."
was the on to ottawa trek a success,True,"The events helped to discredit Bennett's Conservative government, and in the 1935 federal election, his party went from holding 134 seats to just 39. After the Trek, the Saskatchewan government provided free transportation as a peace sign back to the west. The camps were soon dismantled and replaced by seasonal relief camps run by the provinces, and that paid the men slightly more for their labor than the earlier camps. Although the Trek did not reach Ottawa, its reverberations certainly did. Several demands of the Trekkers were eventually met, and the public support that galvanized behind the Trek set the tone for the social and welfare provisions of the postwar era."
is xbox 360 and xbox one cross platform,True,"During Microsoft's E3 2015 press conference on June 15, 2015, Microsoft announced plans to introduce Xbox 360 backward compatibility on the Xbox One at no additional cost. Supported Xbox 360 games will run within an emulator and have access to certain Xbox One features, such as recording and broadcasting gameplay. Games do not run directly from discs. A ported form of the game is downloaded automatically when a supported game is inserted, while digitally-purchased games will automatically appear for download in the user's library once available. As with Xbox One titles, if the game is installed using physical media, the disc is still required for validation purposes."
has any nfl team ever won 3 superbowls in a row,False,"The Pittsburgh Steelers (6--2) have won the most Super Bowls with six championships, while the New England Patriots (5--5), the Dallas Cowboys (5--3), and the San Francisco 49ers (5--1) have five wins. New England has the most Super Bowl appearances with ten, while the Buffalo Bills (0--4) have the most consecutive appearances with four (all losses) from 1990 to 1993. The Miami Dolphins are the only other team to have at least three consecutive appearances: 1972--1974. The Denver Broncos (3--5) and Patriots have each lost a record five Super Bowls. The Minnesota Vikings (0--4) and the Bills have lost four. The record for consecutive wins is two and is shared by seven franchises: the Green Bay Packers (1966--1967), the Miami Dolphins (1972--1973), the Pittsburgh Steelers (1974--1975 and 1978--1979, the only team to accomplish this feat twice), the San Francisco 49ers (1988--1989), the Dallas Cowboys (1992--1993), the Denver Broncos (1997--1998), and the New England Patriots (2003--2004). Among those, Dallas (1992--1993; 1995) and New England (2001; 2003--2004) are the only teams to win three out of four consecutive Super Bowls. The 1972 Dolphins capped off the only perfect season in NFL history with their victory in Super Bowl VII. The only team with multiple Super Bowl appearances and no losses is the Baltimore Ravens, who in winning Super Bowl XLVII defeated and replaced the 49ers in that position. Four current NFL teams have never appeared in a Super Bowl, including franchise relocations and renaming: the Cleveland Browns, Detroit Lions, Jacksonville Jaguars, and Houston Texans, though both the Browns (1964) and Lions (1957) had won NFL championship games prior to the creation of the Super Bowl."
is it legal to marry your first cousin in england,True,"There has been a great deal of debate in the past few years in the United Kingdom about whether to discourage cousin marriages through government public relations campaigns or ban them entirely. The debate has been prompted by a Pakistani immigrant population making up 1.5% of the British population, of whom about 50-70% marry a first cousin. In the 1980s researchers found that children to closely related Pakistani parents had an autosomal recessive condition rate of 4% compared to 0.1% for the European group. For example, Environment Minister (later Immigration Minister) Phil Woolas said in 2008, ``If you have a child with your cousin the likelihood is there'll be a genetic problem'' and that such marriages were the ``elephant in the room''. Physician Mohammad Walji has spoken out against the practice, saying that it is a ``very significant'' cause of infant death, and his practice has produced leaflets warning against it. However, Alan Bittles of the Centre for Comparative Genomics in Australia states that the risk of birth defects rises from roughly 2% in the general population to 4% for first cousins and therefore that ``It would be a mistake to ban it''. Aamra Darr of the University of Leeds has also criticized what she called an ``alarmist presentation of data'' that exaggerates the risk."
do mulder and scully have a kid together,True,"In the teaser, a couple, the Van De Kamps (Adam Nelson and Shannon Hile), adopt Dana Scully's (Gillian Anderson) infant son, William (James and Travis Riker). The episode then jumps back a week. Scully takes William out of her car while an unknown man (Chris Owens) watches them. Later, John Doggett (Robert Patrick) is attacked in the X-Files office by the same man. After a struggle, Doggett subdues him. His face is revealed to be horribly scarred."
are ligers a separate species from tigers and lions,True,"The liger is a hybrid offspring of a male lion (Panthera leo) and a female tiger (Panthera tigris). The liger has parents in the same genus but of different species. The liger is distinct from the similar hybrid tigon, and is the largest of all known extant felines. They enjoy swimming, which is a characteristic of tigers, and are very sociable like lions. Notably, ligers typically grow larger than either parent species, unlike tigons."
did they film sons of anarchy in ireland,False,"Although Sons of Anarchy is set in Northern California's Central Valley, it is filmed primarily at Occidental Studios Stage 5A in North Hollywood. Main sets located there include the clubhouse, St. Thomas Hospital and Jax's house. The production rooms at the studio used by the writing staff also double as the Charming police station. External scenes are often filmed nearby in Sun Valley and Tujunga. Interior and exterior scenes set in Northern Ireland during season 3 were also filmed at Occidental Studios and surrounding areas. A second unit shot footage in Northern Ireland used in the third season."
has anyone ever died in the la brea tar pits,False,"Only one human has been found, a partial skeleton of the La Brea Woman dated to approximately 10,000 calendar years (c. 9,000 radiocarbon years) BP, who was 17 to 25 years old at death and found associated with remains of a domestic dog, and so was interpreted to have been ceremonially interred. John C. Merriam of the University of California led much of the early work in identifying species in the early 20th century."
is the engine the same as the motor,True,"An engine or motor is a machine designed to convert one form of energy into mechanical energy. Heat engines burn a fuel to create heat which is then used to do work. Electric motors convert electrical energy into mechanical motion; pneumatic motors use compressed air; and clockwork motors in wind-up toys use elastic energy. In biological systems, molecular motors, like myosins in muscles, use chemical energy to create forces and eventually motion."
was mary watson in the sherlock holmes books,True,"Toby also featured in the novel Sherlock Holmes vs Dracula; or, The Adventures of the Sanguinary Count by Loren D. Estleman, when Watson and Holmes called on Toby to track Count Dracula after finding him in a meat-packing district -- Dracula's carriage having rolled through a distinctive piece of rubbish -- allowing the two to track Dracula to Watson's house in time to learn that he has abducted Mary Watson."
can an arector pili muscle change the surface area of your skin,False,"Contraction of the muscles has a number of different purposes. Its principal function in the majority of mammals is to provide insulation: air becomes trapped between the erect hairs, helping the animal retain heat. Erection of the porcupine's long, thick hairs causes the animal to become more intimidating, scaring predators. Pressure exerted by the muscle may cause sebum to be forced along the hair follicle towards the surface, protecting the hair."
is lauren conrad in season 5 of the hills,True,"In 2008, Conrad began dating actor Kyle Howard. Howard expressed concern that appearing on reality television would interfere with his acting career; consequently, their relationship was not documented on The Hills. (After three years together, Conrad and Howard ended their relationship in 2011.) Upon the conclusion of the fourth season of the series that December, Conrad wished to leave the series to pursue other career opportunities. However, per the producers' requests, she filmed ten episodes for the following season, in which she closed her storylines. Conrad made her final appearance on the series in May 2009, attending Montag and Pratt's wedding after much deliberation during the mid-season finale of the fifth season. However, in the July 2009 issue of Cosmopolitan, she stated that producers had pressured her into a reconciliation with Montag throughout the season, adding that she was displeased when they would not allow otherwise. Conrad was replaced by former Laguna Beach castmate Kristin Cavallari until the series' conclusion in July 2010."
did julia roberts daughter play in mother's day,True,"In 2014, Roberts narrated ``Women in Hollywood'', an episode of season 2 of Makers: Women Who Make America. Roberts appears in Givenchy's spring/summer 2015 campaign. In 2016, she starred in the film Mother's Day."
is cajeta the same as dulce de leche,True,"Cajeta is a confection of thickened syrup usually made of sweetened caramelised goat's milk. It is a type of dulce de leche, in Mexico it is considered a specialty of the city of Celaya in the state of Guanajuato."
are they still making jane the virgin episodes,True,"On April 2, 2018, The CW renewed the series for a fifth and final season."
is there a new hellraiser movie coming out,True,"Hellraiser: Judgment is a 2018 American horror film starring Damon Carney, Randy Wayne, Alexandra Harris, Heather Langenkamp, and Paul T. Taylor as Pinhead. It is the tenth installment in the Hellraiser film series created by Clive Barker, written and directed by the series' longtime FX artist Gary J. Tunnicliffe. Unable to direct his screenplay for Hellraiser: Revelations due to a scheduling conflict, Tunnicliffe initially removed all references to the series from his Judgment concept and tried to have it funded as an independent film in 2013. He intended on making a ``true'' Hellraiser film because of his disappointment with the later films. Several years later, Dimension Films was required to make another Hellraiser film to retain its rights to the series, giving Tunnicliffe a chance to propose his vision to the studio. The concept was initially rejected but accepted after he negotiated changes with the studio executives. It was filmed in Oklahoma with Children of the Corn: Runaway, both films produced by Michael Leahy. The plot centers on three police detectives who, investigating a series of murders, are confronted by the denizens of hell. Some scenes were deemed too graphic by the studio, and were self-censored."
did simon cowell won sale of the century,False,The show is often famed as having been the place that record producer Simon Cowell made his television debut. The video (of his appearance on the 1989 version) is available on YouTube and extracts of it were shown during the National Television Awards whilst Cowell was receiving the Lifetime Achievement Award. Cowell appeared on 2 episodes (winning his first game) and won only £20 worth of cooking utensils.
will there be a 3rd series of 800 words,True,"On 19 October 2015, the Seven Network and South Pacific Pictures renewed the show for a second season. It premiered on 23 August 2016 in Australia. On January 24, 2017, the Seven Network announced that the series had been renewed for a third season. It screened from 12 September 2017 with a mid-season finale after 8 episodes."
is there a difference between crayfish and crawfish,False,"Crayfish, also known as crawfish, crawdads, crawldads, freshwater lobsters, mountain lobsters, mudbugs or yabbies, are freshwater crustaceans resembling small lobsters (to which they are related). Taxonomically, they are members of the superfamilies Astacoidea and Parastacoidea. They breathe through feather-like gills. Some species are found in brooks and streams where there is running fresh water, while others thrive in swamps, ditches, and paddy fields. Most crayfish cannot tolerate polluted water, although some species such as Procambarus clarkii are hardier. Crayfish feed on animals and plants, either living or decomposing, and detritus."
are ground squirrels and prairie dogs the same,True,"The ground squirrels are members of the squirrel family of rodents (Sciuridae) which generally live on or in the ground, rather than trees. The term is most often used for the medium-sized ground squirrels, as the larger ones are more commonly known as marmots (genus Marmota) or prairie dogs, while the smaller and less bushy-tailed ground squirrels tend to be known as chipmunks. Together, they make up the ``marmot tribe'' of squirrels, Marmotini, and the large and mainly ground squirrel subfamily Xerinae, and containing six living genera. Well-known members of this largely Holarctic group are the marmots (Marmota), including the American groundhog, the chipmunks, the susliks (Spermophilus), and the prairie dogs (Cynomys). They are highly variable in size and habitus, but most are remarkably able to rise up on their hind legs and stand fully erect comfortably for prolonged periods. They also tend to be far more gregarious than other squirrels, and many live in colonies with complex social structures. Most Marmotini are rather short-tailed and large squirrels, and the alpine marmot (Marmota marmota) is the largest living member of the Sciuridae, at 53--73 cm in length and weighing 5--8 kg."
can a brother in law and sister in law get married,True,"If one pair of siblings is married to another pair of siblings, the siblings-in-law are thus doubly related, each of the four both through one's spouse and through one's sibling, while the children of the two couples are double cousins."
is it possible to have dual citizenship in india,True,"There are still some ways in which a person may have dual citizenship of India and another country, including:"
is the major in ghost in the shell 2,True,"Entering a store on his way home, Batou is then seemingly warned by the Major and shot in the arm by an unseen assailant. Caught in a firefight, Batou nearly kills the store owner in confusion, but is subdued when Ishikawa appears. While having his damaged arm replaced, Batou is informed by Ishikawa that his e-brain was hacked, causing him to shoot himself and attack the store occupants. Ishikawa explains that Batou was hacked to try and cause further scandal following his Yakuza assault in an attempt to stop the Section 9 investigation."
is a cpu a input or output device,True,"In computer architecture, the combination of the CPU and main memory, to which the CPU can read or write directly using individual instructions, is considered the brain of a computer. Any transfer of information to or from the CPU/memory combo, for example by reading data from a disk drive, is considered I/O. The CPU and its supporting circuitry may provide memory-mapped I/O that is used in low-level computer programming, such as in the implementation of device drivers, or may provide access to I/O channels. An I/O algorithm is one designed to exploit locality and perform efficiently when exchanging data with a secondary storage device, such as a disk drive."
does bonnie come back to life in season 5,True,"Now that everything is done, Katherine finds Qetsiyah to ask for her cure only to find that Qetsiyah changed her mind and all she wants now is to die and meet her true love on the Other Side. She kills herself without finding a cure for Katherine. Katherine is once again alone since now that Bonnie is back, Caroline asks her to move out of their dorm. Nadia (Olga Fonda) appears to ask her to go back with her to Prague, but Katherine turns her down. Caroline is shocked by the fact that Nadia is Katherine's daughter."
are they going to make another season of anne with an e,True,"On August 3, 2017, both CBC and Netflix renewed the series for a 10-episode second season to premiere in 2018. Season 2 began production in November 2017."
is there going to be a season 5 of prison break,True,"The fifth season of Prison Break (also known as Prison Break: Resurrection) is a limited event television series and a revival of the original series created by Paul Scheuring that aired on Fox from 2005 to 2009. The season is produced by 20th Century Fox Television in association with Adelstein/Parouse Productions and Original Film. Paul Scheuring serves as showrunner, with himself, Marty Adelstein, Neal H. Moritz and Dawn Olmstead, Vaun Wilmott, Michael Horowitz and Nelson McCormick serving as executive producers. McCormick also serves as director. The season premiered on April 4, 2017, and concluded on May 30, 2017, consisting of 9 episodes."
will wii motion plus controller work regular wii,True,"The device incorporates a dual-axis tuning fork gyroscope, and a single-axis gyroscope which can determine rotational motion. The information captured by the angular rate sensor can then be used to distinguish true linear motion from the accelerometer readings. This allows for the capture of more complex movements than possible with the Wii Remote alone."
did the st. louis blues make the stanley cup playoffs,False,"The team is named after the famous W.C. Handy song ``Saint Louis Blues.'' The franchise was founded in 1967 as an expansion team during the league's 1967 NHL Expansion, which expanded the league from six teams to twelve. The Blues are the oldest active NHL team never to have won the Stanley Cup, although they played in the Stanley Cup Finals three times in 1968, 1969 and 1970."
is northern ireland a separate country from southern ireland,True,"Northern Ireland (Irish: Tuaisceart Éireann (ˈt̪ɣuəʃcəɾɣt̪ɣ ˈeːɾjən̪ɣ) ( listen); Ulster-Scots: Norlin Airlann) is a part of the United Kingdom in the north-east of the island of Ireland, variously described as a country, province or region. Northern Ireland shares a border to the south and west with the Republic of Ireland. In 2011, its population was 1,810,863, constituting about 30% of the island's total population and about 3% of the UK's population. Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government. Northern Ireland co-operates with the Republic of Ireland in some areas, and the Agreement granted the Republic the ability to ``put forward views and proposals'' with ``determined efforts to resolve disagreements between the two governments''."
can you get out on a no ball in cricket,True,"The delivery of a no-ball results in one run -- two under some regulations -- to be added to the batting team's score, and an additional ball must be bowled. In addition, the number of ways in which the batsman can be given out is reduced to three. In shorter competition cricket, a batsman receives a 'free hit' on the ball after any kind of no-ball (see below). This means the batsman can freely hit one ball with no danger of being out in most ways."
originally presidential candidates were selected by party caucuses in congress,True,"The system was introduced after George Washington had announced his retirement upon the end of his second term, when the Democratic-Republican Party, and Federalist Party began contesting elections on a partisan basis. Both parties may have held informal caucuses in 1796 to try to decide on their candidates. After the disorganized electoral voting of 1796, both parties held formal caucuses in 1800 that selected their respective presidential candidates (prior to the ratification of the 12th Amendment in 1804 each party ran two presidential candidates). The Federalists secretly held their caucus in early May, but later made their ticket of President John Adams and Charles Cotesworth Pinckney public. The Democratic-Republicans also secretly met in May, and agreed to equally support Thomas Jefferson and Aaron Burr for president. The Federalists did not hold another caucus after 1800."
do the new smash controllers work on gamecube,True,"The Super Smash Bros. edition controller was released in 2014, in conjunction with the release of Super Smash Bros. for Wii U. The controller features a metallic silver Super Smash Bros. logo surrounded by flames instead of the Nintendo GameCube logo. It comes in standard black worldwide, although a white version was released in Japan only. These controllers have much longer cables than the original controllers. Along with the release of the controller, Nintendo released a GameCube controller adapter for the Wii U. The adapter supports four GameCube controllers, and all original pads are supported. A second adapter can be hooked up to a console, allowing up to eight players to use a GameCube controller. The adapter is only officially compatible with Super Smash Bros. for Wii U; no other games allow its use, although some homebrew software is compatible with the adapter and allows it to be used on other games."
is american money worth more than mexican money,False,"The Mexican peso is the currency (ISO 4217: MXN; symbol: $). One peso is divided into 100 centavos (cents). MXN replaced MXP in 1993 at a rate of 1000 MXP per 1 MXN. The exchanged rate remained stable between 1998 and 2006, oscillating between 10.20 and 11=3.50 MXN per US$, recently the Mexican peso parity took a hit under president Enrique Peña Nieto, lost in a single year 19.87% of its value and is currently at $20.37 (2017). Interest rates in 2007 were situated at around 7 percent, having reached a historic low in 2002 below 5 percent. Inflation rates are also at historic lows; the inflation rate in Mexico in 2006 was 4.1 percent, and 3 percent by the end of 2007. Compared against the US Dollar, Mexican Peso has devalued over %7,500 since 1910."
can you own a semi automatic rifle in canada,True,"Some magazines are prohibited regardless of the class of firearm to which the magazines are attached. As a general rule, under the Criminal Code, the maximum magazine capacity is five rounds for most magazines designed for rifles that shoot centre-fire in a semi-automatic fashion, or ten rounds for most handgun magazines."
do all odd numbered highways go north and south,False,"The route numbers and locations are coordinated by the American Association of State Highway and Transportation Officials (AASHTO). The only federal involvement in AASHTO is a nonvoting seat for the United States Department of Transportation. Generally, north-to-south highways are odd-numbered, with lowest numbers in the east, the area of the founding thirteen states of the United States, and highest in the west. Similarly, east-to-west highways are typically even-numbered, with the lowest numbers in the north, where roads were first improved most intensively, and highest in the south. Major north--south routes have numbers ending in ``1'' while major east--west routes have numbers ending in ``0''. Three-digit numbered highways are spur routes of parent highways but are not necessarily connected to their parents. Some divided routes exist to provide two alignments for one route, even though many splits have been eliminated. Special routes, usually posted with a banner, can provide various routes, such as an alternate, bypass or business route, for a U.S. Highway."
does the a team ever get a pardon,True,"As the television ratings of The A-Team fell dramatically during the fourth season, the format was changed for the show's final season in 1986--87 in a bid to win back viewers. After years on the run from the authorities, the A-Team is finally apprehended by the military. General Hunt Stockwell, a mysterious CIA operative played by Robert Vaughn, propositions them to work for him, whereupon he will arrange for their pardons upon successful completion of several suicide missions. In order to do so, the A-Team must first escape from their captivity. With the help of a new character, Frankie ``Dishpan Man'' Santana, Stockwell fakes their deaths before a military firing squad. The new status of the A-Team, no longer working for themselves, remained for the duration of the fifth season while Eddie Velez and Robert Vaughn received star billing along with the principal cast. The missions that the team had to perform in season five were somewhat reminiscent of Mission: Impossible, and based more around political espionage than beating local thugs, also usually taking place in foreign countries, including successfully overthrowing an island dictator, the rescue of a scientist from East Germany, and recovering top secret Star Wars defense information from Soviet hands. These changes proved unsuccessful with viewers, however, and ratings continued to decline. Only 13 episodes aired in the fifth season. In what was supposed to be the final episode, ``The Grey Team'' (although ``Without Reservations'' was broadcast on NBC as the last first-run episode in March 1987), Hannibal, after being misled by Stockwell one time too many, tells him that the team will no longer work for him. At the end, the team discusses what they were going to do if they get their pardon, and it is implied that they would continue doing what they were doing as the A-Team. The character of Howling Mad Murdock can be seen in the final scene wearing a T-shirt that says, ``Fini''."
can a registered libertarian vote in the primary,True,"An open primary is a primary election that does not require voters to be affiliated with a political party in order to vote for partisan candidates. In a traditional open primary, voters may select one party's ballot and vote for that party's nomination. As in a closed primary, the highest voted candidate in each party then proceeds to the general election. In a nonpartisan blanket primary, all candidates appear on the same ballot and the two highest voted candidates proceed to the runoff election, regardless of party affiliation. The constitutionality of this system was affirmed by the Supreme Court of the United States in 2008, whereas a partisan blanket primary was previously ruled to be unconstitutional in 2000. The arguments for open primaries are that voters can make independent choices, building consensus that the electoral process is not splintered or undermined by the presence of multiple political parties."
does the us navy still issue pea coats,True,"A few of the jackets seen on the street are genuine navy surplus; being a classic garment, it is frequently available from retailers, though often with small design changes that reflect the current fashion trends. The standard for historical pea coats was 30 ounces (approx. 850 g) wool, most often made of heavy Melton cloth through the 1970s in the U.S. Navy. Presently coats are made from 22--32 oz (620--910 g) wool. While pea coats are offered in many colors by retailers, the US Navy-issue pea coat is dark blue."
can you be given a police caution without being arrested,False,"In recent years a lower level resolution of offences has often been used by police forces in England and Wales instead of a caution. This is usually called a 'community resolution' and invariably requires less police time as offenders are not arrested. A community resolution does not require any formal record but the offender should admit the offence and the victim should be happy with this method of informal resolution. Concerns have been expressed over the use of community resolution for violent offences, in particular 'domestic violence'."
are the adjacent sides of a parallelogram equal,True,"In Euclidean geometry, a parallelogram is a simple (non-self-intersecting) quadrilateral with two pairs of parallel sides. The opposite or facing sides of a parallelogram are of equal length and the opposite angles of a parallelogram are of equal measure. The congruence of opposite sides and opposite angles is a direct consequence of the Euclidean parallel postulate and neither condition can be proven without appealing to the Euclidean parallel postulate or one of its equivalent formulations."
res ipsa loquitur means the thing speaks for itself and is related to causation,True,"In the common law of torts, res ipsa loquitur (Latin for ``the thing speaks for itself'') is a doctrine that infers negligence from the very nature of an accident or injury in the absence of direct evidence on how any defendant behaved. Although modern formulations differ by jurisdiction, common law originally stated that the accident must satisfy the necessary elements of negligence: duty, breach of duty, causation, and injury. In res ipsa loquitur, the elements of duty of care, breach and causation are inferred from an injury that does not ordinarily occur without negligence"
in mississippi can you drink with your parents,True,"Seventeen states (Arkansas, California, Connecticut, Florida, Kentucky, Maryland, Massachusetts, Mississippi, Missouri, Nevada, New Hampshire, New Mexico, New York, Oklahoma, Rhode Island, South Carolina, and Wyoming) and the District of Columbia have laws against possession of alcohol by minors, but they do not prohibit its consumption by minors."
