question,answer,passage
are the evangelion movies the same as the anime,True,"Rebuild of Evangelion, known in Japan as Evangelion: New Theatrical Edition (ヱヴァンゲリヲン新劇場版, Evangerion Shin Gekijōban), is a Japanese animated film series and a reboot of the original Neon Genesis Evangelion anime television series, produced by Studio Khara. Hideaki Anno served as the writer and general manager of the project, with Kazuya Tsurumaki and Masayuki directing the films themselves. Yoshiyuki Sadamoto, Ikuto Yamashita and Shirō Sagisu returned to provide character designs, mechanical designs and music respectively."
is the premise of the movie double jeopardy accurate,True,"The Double Jeopardy Clause of the Fifth Amendment to the United States Constitution states plainly: ``(N)or shall any person be subject for the same offence to be twice put in jeopardy of life or limb ... '' The four essential protections included are prohibitions against, for the same offense: retrial after an acquittal; after a conviction; or after certain mistrials; and multiple punishment. The Double Jeopardy Clause has no bearing on separate crimes of the same nature. Harvard Professor Alan Dershowitz criticized the movie for allegedly misrepresenting the Double Jeopardy Clause of the Fifth Amendment. ``There are two separate incidents,'' Dershowitz claims. ``She was falsely accused the first time. And maybe she can sue for that or get some credit. But then she committed an entirely separate, or at least planned to commit, an entirely separate crime the second time. And there's just no defense of double jeopardy for doing it the second time.''"
does a jury have to be unanimous uk,False,"Initially, the jury will be directed to try to reach a unanimous verdict. If they fail to reach a unanimous verdict, the judge may later (after not less than two hours) give directions that a majority verdict will be acceptable, but still no less than ten to two, although the jury should continue to try to reach a unanimous verdict if possible."
is national guard boot camp the same as army,True,"United States Army Basic Training (also known as Initial Entry Training, IET) is the recruit training program of physical and mental preparation for service in the United States Army, United States Army Reserve or Army National Guard."
is golden syrup and treacle the same thing,True,"Treacle (/ˈtriːkəl/) is any uncrystallised syrup made during the refining of sugar. The most common forms of treacle are golden syrup, a pale variety, and a darker variety known as black treacle. Black treacle, or molasses, has a distinctively strong, slightly bitter flavour, and a richer colour than golden syrup. Golden syrup treacle is a common sweetener and condiment in British cookery, found in such dishes as treacle tart and treacle sponge pudding."
do champions league teams drop into europa league,False,"In 1999, the UEFA Cup Winners' Cup was abolished and merged with the UEFA Cup. For the 2004--05 competition a group stage was added prior to the knockout phase. The 2009 re-branding included a merge with the UEFA Intertoto Cup, producing an enlarged competition format, with an expanded group stage and changed qualifying criteria. The winner of the UEFA Europa League qualifies for the UEFA Super Cup, and since the 2014--15 season the winner of the UEFA Europa League also qualifies for the next edition of the UEFA Champions League. The winner enters at the group stage."
is the movie a league of their own true,False,"A League of Their Own is a 1992 American sports comedy-drama film that tells a fictionalized account of the real-life All-American Girls Professional Baseball League (AAGPBL). Directed by Penny Marshall, the film stars Geena Davis, Tom Hanks, Madonna, Rosie O'Donnell, and Lori Petty. The screenplay was written by Lowell Ganz and Babaloo Mandel from a story by Kelly Candaele and Kim Wilson."
are there any of the original temptations living,True,"Williams is best known as the founder and last surviving original member of the Motown vocal group The Temptations, a group in which he continues to perform; he also owns the rights to the Temptations name."
do members of the house of lords get paid,False,"Members of the House of Lords are not salaried. They can opt to receive a £305 per day attendance allowance, plus travel expenses and subsidised restaurant facilities. Peers may also choose to receive a reduced attendance allowance of £150 per day instead."
do you have to register as a domestic partner in california,True,"Domestic partner registration is an uncomplicated process, more simple and less costly than entering into a marriage. Both parties must sign a declaration listing their names and address. Both signatures must be notarized. The declaration must then be transmitted to the Secretary of State along with a $10 filing fee (plus an additional $23 fee for same-sex couples to help fund LGBT-specific domestic violence training and services). In this regard it is not like a marriage or civil union. Those unions require a ceremony, solemnized by either religious clergy or civil officials, to be deemed valid."
is a syndrome the same as a disease,True,"A syndrome is a set of medical signs and symptoms that are correlated with each other and, often, with a particular disease or disorder. The word derives from the Greek σύνδρομον, meaning ``concurrence''. In some instances, a syndrome is so closely linked with a pathogenesis or cause that the words syndrome, disease, and disorder end up being used interchangeably for them. This is especially true of inherited syndromes. For example, Down syndrome, Wolf--Hirschhorn syndrome, and Andersen syndrome are disorders with known pathogeneses, so each is more than just a set of signs and symptoms, despite the syndrome nomenclature. In other instances, a syndrome is not specific to only one disease. For example, toxic shock syndrome can be caused by various toxins; premotor syndrome can be caused by various brain lesions; and premenstrual syndrome is not a disease but simply a set of symptoms."
does the constitution give us the right to vote,True,"Eligibility to vote in the United States is established both through the federal constitution and by state law. Several constitutional amendments (the 15th, 19th, and 26th specifically) require that voting rights cannot be abridged on account of race, color, previous condition of servitude, sex, or age for those above 18; the constitution as originally written did not establish any such rights during 1787--1870. In the absence of a specific federal law or constitutional provision, each state is given considerable discretion to establish qualifications for suffrage and candidacy within its own respective jurisdiction; in addition, states and lower level jurisdictions establish election systems, such as at-large or single member district elections for county councils or school boards."
do the individual parallel lines in a parallel circuit have different currents flowing through them,False,"In a series circuit, the current through each of the components is the same, and the voltage across the circuit is the sum of the voltages across each component. In a parallel circuit, the voltage across each of the components is the same, and the total current is the sum of the currents through each component."
is dc legends of tomorrow based on a comic,False,"DC's Legends of Tomorrow, or simply Legends of Tomorrow, is an American superhero television series developed by Greg Berlanti, Marc Guggenheim, Andrew Kreisberg, and Phil Klemmer, who are also executive producers along with Sarah Schechter and Chris Fedak; Klemmer and Fedak serve as showrunners. The series, based on the characters of DC Comics, airs on The CW and is a spin-off featuring characters introduced in Arrow and The Flash along with new characters, set in the Arrowverse, the same fictional universe. The series premiered in January 2016. Legends of Tomorrow was renewed for a fourth season in April 2018, which is set to premiere on October 22, 2018."
is the cn tower one of the tallest buildings,True,"The CN Tower held the record for the world's tallest free-standing structure for 32 years until 2007 and was the world's tallest tower until 2009 being overtaken by Burj Khalifa and Canton Tower, respectively. It is now the ninth tallest tower in the world and remains the tallest free-standing structure in the Western Hemisphere. In 1995, the CN Tower was declared one of the modern Seven Wonders of the World by the American Society of Civil Engineers. It also belongs to the World Federation of Great Towers."
is frozen whipped topping the same as cool whip,True,"Cool Whip has a longer shelf life than cream while frozen. On the other hand, it does not have the same flavor and texture as whipped cream, and it costs nearly 50 percent more. It was originally described as ``non-dairy'' despite containing the milk protein casein; it now also includes milk. The product is sold frozen and must be defrosted in the refrigerator before being used."
are they going to make a death note 2,True,"Death Note 2: The Last Name (デスノート the Last name, Desu Nōto the Last name) a 2006 Japanese dark fantasy occult detective crime-thriller film directed by Shūsuke Kaneko. The film is the second in a series of live-action Japanese films released in 2006 based on the Death Note manga and anime series by Tsugumi Ohba and Takeshi Obata. The film primarily centers on a university student named: Light Yagami, who decides to rid the world of the crime element with the help of an otherworldly notebook that kills anyone whose name is written in it, under the alias of a controversial serial-killer: ``Kira'', while evading capture from a Tokyo police task-force, led by an enigmatic and highly-intelligent criminal profiler: ``L'', who is determined to end Light's reign of terror. The film was produced by Nippon Television, and distributed by Warner Bros. Pictures Japan. It was licensed by VIZ Pictures. A spin-off, L: Change the World, was released in 2008. A sequel, Death Note: Light Up the New World, was released in 2016."
will there be another season of comedians in cars getting coffee,True,"Comedians in Cars Getting Coffee is an American web series talk show created, directed and hosted by comedian Jerry Seinfeld, distributed for the first nine seasons by digital network Crackle, then moving to Netflix for season ten (2017). The series premiered on July 19, 2012."
is a structure found in the crista ampullaris,False,"The crista ampullaris itself is a cone-shaped structure, covered in receptor cells called ``hair cells''. Covering the crista ampullaris is a gelatinous mass called the cupula. Upon angular acceleration (rotation), the endolymph within the semicircular duct deflects the cupula against the hair cells of the crista ampullaris. The hair cells respond by stimulating neurons that innervate them."
can i travel in europe with an id card,True,"National identity cards are issued to their citizens by the governments of all European Union member states except Denmark, Ireland (Public Services Card) and the United Kingdom, and also by Liechtenstein and Switzerland (the latter not formally part of the EEA). Citizens holding a national identity card, which states EEA or Swiss citizenship, can not only use it as an identity document within their home country, but also as a travel document to exercise the right of free movement in the EEA and Switzerland. Identity cards that do not state EEA or Swiss citizenship, including national identity cards issued to residents who are not citizens, are not valid as a travel document within the EEA and Switzerland."
is there going to be a my little pony season 8,True,"The eighth season of the animated television series My Little Pony: Friendship Is Magic, developed by Lauren Faust, originally aired on the Discovery Family channel in the United States. The series is based on Hasbro's My Little Pony line of toys and animated works and is often referred by collectors to be the fourth generation, or ``G4'', of the My Little Pony franchise. Season 8 of the series premiered on March 24, 2018, on Discovery Family, an American pay television channel partly owned by Hasbro."
can you keep a gray wolf as a pet,True,"Wild wolves are sometimes kept as exotic pets, and in some rarer occasions, as working animals. Although closely related to domesticated dogs, wolves do not show the same tractability as dogs in living alongside humans, and generally, much more work is required in order to obtain the same amount of reliability. Wolves also need much more space than dogs, about 25 to 40 square kilometres (10 to 15 sq mi) so they can exercise."
is there a storyline to star wars battlefront,False,"Games in the Battlefront series normally revolve around two armies -- the Galactic Republic versus the Confederacy of Independent Systems or the Galactic Empire versus the Rebel Alliance or First Order versus the Resistance -- fighting each other on various maps. Maps take place in the Star Wars galaxy, with battlezones varying in theme and size. Across the battlefield are multiple ``command posts'' (objectives) that act as spawn points, and can be controlled by either the player or the computer. Units can spawn from any friendly command post, and vehicles regularly spawn at their respective command posts when destroyed. Units can capture neutral or hostile command posts by approaching them and standing within the immediate vicinity for about 30 seconds. The time to capture quickens with more friendly units within the capture zone. Some vehicles act as mobile command posts, and must be destroyed as they can not be captured. On some maps (such as Hoth or Endor), certain structures also act as command posts that can not be captured. Command post capturing works differently on certain campaign missions as well. Playable heroes and villains play a significant role in changing the course of battles."
does eating your boogers improve your immune system,True,"Mucophagy, despite its benefits on one's immunity, comes with some health risks due to the potential physical aggravation resulting from the action of nose picking, and the germs on fingers and in mucus. Picking one's nose can cause upper airway irritation as well as other injuries including nasal septal perforation (a ``through-and-through defect'' of the cartilage separating the nostrils), and epistaxis (nosebleed). In a study by Andrade and Srihari, 25% of subjects were ailed by nose bleeds, 17% with nasal infections, and 2% with damage more serious than bleeding. W. Buzina studied the fungal diversity in nasal mucus in 2003. 104 samples were gathered with 331 identifiable strains of fungi and 9 different species per patient."
is there a second season of iron fist,True,"The season was released on September 7, 2018, and consists of ten episodes. The season received mixed reviews from critics, but was considered a major improvement over the previous season. Netflix canceled the series on October 12, 2018."
are there grizzly bears on the east coast,True,"Brown bears are found in Asia, Europe, and North America, giving them the widest ranges of bear species. They also inhabited North Africa and the Middle East. In North America, grizzly bears previously ranged from Alaska down to Mexico and as far east as the western shores of Hudson Bay; the species is now found in Alaska, south through much of western Canada, and into portions of the northwestern United States (including Idaho, Montana, Washington, and Wyoming), extending as far south as Yellowstone and Grand Teton National Parks. It is most commonly found in Canada. In Canada, there are approximately 25,000 grizzly bears occupying British Columbia, Alberta, the Yukon, the Northwest Territories, Nunavut, and the northern part of Manitoba. An article published in 1954 suggested they may be present in the tundra areas of the Ungava Peninsula and the northern tip of Labrador-Quebec. In British Columbia, grizzly bears inhabit approximately 90% of their original territory. There were approximately 25,000 grizzly bears in British Columbia when the European settlers arrived. However, population size has since significantly decreased due to hunting and habitat loss. In 2003, researchers from the University of Alberta spotted a grizzly on Melville Island in the high Arctic, which is the most northerly sighting ever documented. In 2008, it was estimated there were 16,014 grizzly bears. Population estimates for British Columbia are based on hair-snagging, DNA-based inventories, mark-and-recapture, and a refined multiple regression model. A revised Grizzly bear count in 2012 for British Columbia was 15,075."
is the book shantaram based on a true story,True,"There is a great deal of debate as to where the boundaries lie between fact and fiction in the book. Roberts has stated the characters in the story are largely invented, and that he merged different elements taken from true events and people into such events and characters like Prabaker 'of the big smile'. Prabhakar Kisan Khare was a real-life individual, as are the members of Khare family from the book (Kisan, Rukhma, Kishor and Parvati Khare) whose names appear on government issued identity cards. The family resides in the Navy Nagar slum where the lead character Shantaram also lived. The Khare family disputes many of Roberts' claims, although they acknowledge close association with Gregory Roberts in the 1980s. Prabhakar died in an accident in 1988 in circumstances matching the event in the book. In March 2006, the Mumbai Mirror reported they may have discovered the inspiration for the big smile of the character Prabhakar as belonging to a still living cab driver called Kishore, who took Roberts to his home village. Kishore Khare, brother of Prabhakar, who drives tourists around Mumbai, has told his story."
are the spinners in the hall of fame,True,"The group is also listed as the Detroit Spinners and the Motown Spinners, due to their 1960s recordings with the Motown label. These other names were used in the UK to avoid confusion with a British folk group also called The Spinners. On June 30, 1976, they received a star on the Hollywood Walk of Fame. In 2015, they were nominated for induction into the Rock and Roll Hall of Fame."
can you carry a concealed weapon in missouri,False,"As of January 1, 2017, a permit is not required to carry concealed."
are kevin and bean still on the radio,True,"Kevin and Bean is the morning show on KROQ-FM, an alternative rock-format radio station in Los Angeles, California. It is hosted by Kevin Ryder and Gene ``Bean'' Baxter. The show has been on the air since 1990 and intersperses music and news with comedy, celebrity interviews, listener call-ins, and live music performances."
will there be a fifth season of blacklist,True,"The fifth season of the American crime thriller television series The Blacklist premiered on NBC on September 27, 2017, with a timeslot change from Thursday at 10:00 PM to Wednesday at 8:00 PM. The season was produced by Davis Entertainment, Universal Television and Sony Pictures Television, and the executive producers are Jon Bokenkamp, John Davis, John Eisendrath, John Fox, and Joe Carnahan. The season contained 22 episodes and concluded on May 16, 2018. The season aired the series 100th episode."
was the apocrypha part of the original bible,True,"The Biblical apocrypha (from the Greek ἀπόκρυφος, apókruphos, meaning ``hidden'') denotes the collection of apocryphal ancient books found in some editions of Christian Bibles in a separate section between the Old and New Testaments or as an appendix after the New Testament. Some Christian Churches include some or all of the same texts within the body of their version of the Old Testament."
is range rover the same as land rover,True,"The Land Rover Range Rover (generally known simply as a Range Rover) is a full-sized luxury sport utility vehicle (SUV) from Land Rover, a marque of Jaguar Land Rover. The Range Rover was launched in 1970 by British Leyland. This flagship model is now in its fourth generation."
is there a navy base in puerto rico,True,"Roosevelt Roads Naval Station is a former United States Navy base in the town of Ceiba, Puerto Rico. The site is run today as José Aponte de la Torre Airport, a public use airport."
is blue cross the same as blue shield,True,"Blue Cross Blue Shield Association (BCBSA) is a federation of 36 separate United States health insurance organizations and companies, providing health insurance in the United States to more than 106 million people. Blue Cross was founded in 1929 and became the Blue Cross Association in 1960, while Blue Shield emerged in 1939 and the Blue Shield Association was created in 1948. The two organizations merged in 1982."
can you sue a sitting supreme court justice,True,"Judicial immunity does not protect judges from suits stemming from administrative decisions made while off the bench, like hiring and firing decisions. But immunity generally does extend to all judicial decisions in which the judge has proper jurisdiction, even if a decision is made with ``corrupt or malicious intent.'' In 1997 West Virginia judge Troisi became so irritated with a rude defendant, he stepped down from the bench, took off his robe, and bit the defendant on the nose. He pleaded no contest to state charges but was acquitted of federal charges of violating the defendant's civil rights. He spent five days in jail and was put on probation."
is national and federal government the same thing,True,"A central government is the government of a nation-state and is a characteristic of a unitary state. This is the same thing as a federal government which may have distinct powers at various levels authorized or delegated to it by its member states, though the adjective 'central' is sometimes used to describe it. The structure of central governments varies. Many countries have created autonomous regions by delegating powers from the central government to governments at a subnational level, such as a regional, state or local level. Based on a broad definition of a basic political system, there are two or more levels of government that exist within an established territory and govern through common institutions with overlapping or shared powers as prescribed by a constitution or other law."
does canada's worst driver lose their license,False,"In each season, eight drivers and their nominators-- Canada's Worst Driver 11 had nine drivers; more on this later-- are enrolled at the Driver Rehabilitation Centre where they compete in challenges designed to improve their driving skills, in an effort to not be named Canada's Worst Driver. In the first challenge, the contestants begin at a location about an hour's drive from the Driver Rehabilitation Centre. Following the directions that are given, each contestant must drive to the Driver Rehabilitation Centre where, upon arriving, the driver's license of each contestant is confiscated (for the first two seasons, their car keys were confiscated instead). The first episode concludes with an obstacle course or assessment challenge, meant to evaluate the skills of each driver. The series is well known for its obstacle course challenges. Contestants must routinely maneuver their cars through tight spaces with less than an inch of clearance on either side. To show that the challenge can be done without hitting obstacles by an average driver, host Andrew Younghusband, himself an average driver, performs each challenge before any contestant attempts said challenge. At the end of each episode, starting with the second episode of each season, each contestant meets with Andrew and a panel of four experts for an evaluation of his or her performance. After all remaining contestants are interviewed, the experts and Andrew deliberate on which contestant and nominator pair have improved enough to graduate from the Driver Rehabilitation Centre. The driver who has graduated is eliminated from the competition and is sent home with his or her license returned to him or her. Typically, the contestants drive off with their nominators in the car that they used to arrive at the Driver Rehabilitation Centre. During the series, the experts also reserve the right to not graduate anyone during an episode or to graduate multiple contestants at the same time. The experts may also choose to expel any contestant prematurely who does not show any incentive to learn, who they believe should not continue driving or who can not continue the rehabilitation program often for medical or legal reasons. In this particular instance, certain contestants are eliminated from the competition and their licenses are returned and they are given a ride home by their nominators. However, a prematurely expelled contestant or contestant who refuses to continue may still be considered for the title, as was the case in Canada's Worst Driver Ever, in which Dale Pitton was expelled in the second-to-last episode, only to be brought back for the trophy presentation. In extreme cases, the experts may contact the relevant Ministry of Transport and request that a driver's license be put up for review, if they believe that a contestant is medically unfit to continue driving. To date, this has happened only twice, in Canada's Worst Driver 4 with Donna Hicks and Canada's Worst Driver Ever with Dale. The elimination process continues until only three contestants remain (the original intent was for two contestants to remain, but due to the first season containing an episode in which no one graduated, there were three; every subsequent season has had three finalists). Those three finalists are then given the final challenge, which is typically a three-in-a-car forward-backward slalom within a certain time limit, followed by the Mega Challenge, an obstacle course with elements of almost every previous challenge (the standard transmission balancing challenge, among others, is not part of the Mega Challenge, but every challenge that is practical to include does get included), as well as a driving examination through the busy streets of a major urban centre in Canada near the Driver Rehabilitation Centre (since season seven, the road test has been in Hamilton, Ontario). Based on these three challenges, the experts determine which among the three is Canada's Worst Driver. With the exception of the eighth season, in which both Kevin Simmons and Flora Wang were named Canada's Worst Driver, the contestant who fared the second-worst is deemed to not have graduated from the Driver Rehabilitation Centre, while the contestant who fared the third-worst is considered a graduate (with the exception of the eleventh season, in which, despite faring the third-worst, Sholom Hoffman failed to graduate). Unlike other versions of the Worst Driver series around the world, where being eliminated early is rewarded with a new car while the Worst Driver has their car destroyed, Canada's Worst Driver awards no prizes aside from a trophy for being named the worst, as the point of the show is to educate rather than entertain."
is puerto rico located in the united states,False,"Puerto Rico (Spanish for ``Rich Port''), officially the Commonwealth of Puerto Rico (Spanish: Estado Libre Asociado de Puerto Rico, lit. ``Free Associated State of Puerto Rico'') and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea, approximately 1,000 miles (1,600 km) southeast of Miami, Florida."
are family dollar and dollar general owned by the same company,True,"Several stores were required to be sold as a condition of the sale. Sycamore Partners acquired the stores in 2014 under the corporate name Dollar Express. The stores continued to operate under the Family Dollar name. In 2017, Dollar General acquired Dollar Express and converted the stores."
do you have to order food with alcohol in utah,False,"Utah laws restrict supermarkets operating within the State to only sell packaged beer up to 4.0% ABV (or 3.2% alcohol by weight); beer containing alcohol greater than this amount (as well as Liquor and wine) can only be sold at state-controlled liquor stores. Bars, clubs, taverns, and other establishments selling in-house or ``on premise'' alcohol (excluding restaurants) are allowed to sell alcohol from 10:00am -- 1:00am. Locations defined as a restaurant under Utah law require that food also be ordered with any alcohol that is to be ordered and consumed (though they do not have to be ordered at the same time), and can sell alcohol from 11:30am - 1:00am."
will xbox 1 games play on xbox 360,True,"The Xbox 360 gaming console has received updates from Microsoft since its launch in 2005 that enable it to play select games from its predecessor, Xbox. The Xbox 360 launched with backward compatibility with the number of supported Xbox games varying depending on region. Microsoft continued to updated the list of Xbox games that were compatible with Xbox 360 until November 2007 when the list was finalized. Microsoft later launched the Xbox Originals program on December 7, 2007 where select backward compatible Xbox games could be purchased digitally on Xbox 360 consoles with the program ending less than two years later in June 2009. The following is a list of all backward compatible games on Xbox 360 available on physical and digital media."
is queso blanco the same as queso fresco,True,"Queso blanco (Spanish pronunciation: (ˈkeso ˈβlaŋko)), with similar cheeses including queso fresco (pronounced (ˈkeso ˈfɾesko)), is a creamy, soft, and mild unaged white cheese, commonly used in the Iberian Peninsula, several Latin American countries including Mexico, and many parts of the United States. The name queso blanco is Spanish for ``white cheese'', but similar cheeses are used and known throughout the world. In Brazil they are respectively known as queijo branco (Portuguese pronunciation: (ˈkejʒu ˈbɾɐ̃ku)) and queijo fresco in Portugal ((ˈkeijʒu ˈfɾeʃku))."
can u really hear the ocean in a shell,False,"The rushing sound that one hears is in fact the noise of the surrounding environment, resonating within the cavity of the shell. The same effect can be produced with any resonant cavity, such as an empty cup or even by simply cupping one's hand over one's ear. The similarity of the noise produced by the resonator to that of the oceans is due to the resemblance between ocean movements and airflow."
do avery and kepner get back together season 10,True,"The season mainly focuses on the relationship between the show's protagonist Meredith Grey (Ellen Pompeo) and ``her person'' Cristina Yang (Sandra Oh) as both follow different paths relating their careers straining their relationship. Derek Shepherd (Patrick Dempsey) and Callie Torres (Sara Ramirez) having separated from her wife Arizona Robbins (Jessica Capshaw) teamed up with the White House to work on a brain mapping project. Miranda Bailey (Chandra Wilson) was on a project mapping out the human genome. Yang and Owen Hunt (Kevin McKidd) gradually take their relationship from complicated and painful to a place of real friendship. April Kepner (Sarah Drew) and Jackson Avery (Jesse Williams) elope during Kepner and paramedic Matthew's (Justin Bruening) wedding. Yang takes off to Switzerland for a job offer to take over Preston Burke's (Isaiah Washington) hospital because he wants to step down and move his family. She bids her farewell to her colleagues of the last seven years, including Hunt and dances it out with Meredith one last time to an old favorite song."
can you jump your own player in sorry,True,"A pawn can jump over any other pawn during its move. However, two pawns cannot occupy the same square; a pawn that lands on a square occupied by another player's pawn ``bumps'' that pawn back to its own Start. Players can not bump their own pawns back to Start; if the only way to complete a move would result in a player bumping his or her own pawn, the player's pawns remain in place and the player loses his or her turn."
can you drink in public in czech republic,True,"In the Czech Republic, drinking in public is generally legal, but each community is entitled to restrict public drinking by ordinance. As a result of this some towns and cities, have forbidden drinking in public in order to prevent people from disorderly conduct and begging."
is electrode potential the same as reduction potential,True,"Although the overall potential of a cell can be measured, there is no simple way to accurately measure the electrode/electrolyte potentials in isolation. The electric potential also varies with temperature, concentration and pressure. Since the oxidation potential of a half-reaction is the negative of the reduction potential in a redox reaction, it is sufficient to calculate either one of the potentials. Therefore, standard electrode potential is commonly written as standard reduction potential."
is there going to be an iron fist season 2,True,"The season will be released on September 7, 2018."
was dead poets society adapted from another work,False,"The script was written by Tom Schulman, based on his experiences at the Montgomery Bell Academy in Nashville, Tennessee, particularly with his inspirational teacher Samuel Pickering. A scene in the original script showing Keating dying in a hospital was removed by film director Peter Weir. Filming took place at St. Andrew's School in Middletown, Delaware, and at locations in New Castle, Delaware, and in nearby Wilmington, Delaware."
is sperm concentration the same as sperm count,True,"Sperm count, or sperm concentration to avoid confusion with total sperm count, measures the concentration of sperm in a man's ejaculate, distinguished from total sperm count, which is the sperm count multiplied with volume. Over 15 million sperm per milliliter is considered normal, according to the WHO in 2010. Older definitions state 20 million. A lower sperm count is considered oligozoospermia. A vasectomy is considered successful if the sample is azoospermic (zero sperm of any kind found). Some define success as when rare/occasional non-motile sperm are observed (fewer than 100,000 per millilitre). Others advocate obtaining a second semen analysis to verify the counts are not increasing (as can happen with re-canalization) and others still may perform a repeat vasectomy for this situation."
does the femoral nerve turn into the saphenous nerve,True,"The saphenous nerve (long or internal saphenous nerve) is the largest cutaneous branch of the femoral nerve. It is a strictly sensory nerve, and has no motor function."
can a po box have a street address,True,"Some private companies (e.g., United Parcel Service (UPS) and commercial mail receiving agencies) also offer similar services of renting a mailbox in a public location. The difference with an official PO box is that mail sent there is addressed to a street address (along with the box number), instead of just addressed to ``PO Box CSX''."
does the girl die in before i fall,True,"Through this ``Groundhog Day'' phenomenon, Sam experiences all five stages of grief. Denial is seen as she tries to evade her fate; she gets angry and rebels, lashing out at her friends (particularly Lindsay) and hanging out with students she would never dare be seen speaking with; she bargains with God, or fate, believing that if she can make things right, she can save her own life; depression, in which she feels that nothing even matters and where in she begins acting uncharacteristically and recklessly by having sex, kissing her teacher and doing drugs; and finally, acceptance. The Sam who accepts her death -- but only if she is able to save Juliet Sykes from committing suicide -- is a very different character from the girl on the first page of the book."
is barbuda part of the us virgin islands,True,"Antigua and Barbuda (/ænˈtiːɡə ənd bɑːrˈbjuːdə/ ( listen); an-TEE-gǝ ǝnd bar-BEW-dǝ) is a sovereign state in the Americas, lying between the Caribbean Sea and the Atlantic Ocean. It consists of two major islands, Antigua and Barbuda, and a number of smaller islands (including Great Bird, Green, Guiana, Long, Maiden and York Islands and further south, the island of Redonda). The permanent population numbers about 81,800 (at the 2011 Census) and the capital and largest port and city is St. John's, on Antigua."
is fishermans wharf and pier 39 the same,True,"One of the busiest and well known tourist attractions in the western United States, Fisherman's Wharf is best known for being the location of Pier 39, the Cannery Shopping Center, Ghirardelli Square, a Ripley's Believe it or Not museum, the Musée Mécanique, Wax Museum at Fisherman's Wharf, and the San Francisco Maritime National Historical Park."
can you use a passport card to board a plane,True,"The U.S. Passport Card is the de facto national identification card of the United States and a limited travel document issued by the federal government of the United States in the size of a credit card. Like a U.S. passport book, the passport card is only issued to U.S. citizens and U.S. nationals exclusively by the U.S. Department of State and is compliant to the standards for identity documents set by the REAL ID Act and can be used as proof of U.S. citizenship. The passport card's intended primary purpose is for identification and to allow cardholders to travel by domestic air flights within the United States and to enter and exit the United States via land and sea between member states of the Western Hemisphere Travel Initiative (WHTI). However, the passport card cannot be used for international air travel."
can you lead with a spade in spades,True,"A common variant rule, borrowed from Hearts, is that a player may not lead Spades until a Spade has been played to trump another trick. This prevents a player who is ``long'' in Spades (having a large number of them) from leading Spades one after the other at the beginning of the hand to deplete them and thus prevent other players using them as trumps. The act of playing the first Spade in a hand is known as ``breaking Spades'', derived from its parent rule, ``breaking Hearts''. When a player leads with a spade (after spades has been broken), the other players must follow suit."
did the tea act increase the price of tea,True,"The Indemnity Act of 1767, which gave the East India Company a refund of the duty on tea that was re-exported to the colonies, expired in 1772. Parliament passed a new act in 1772 that reduced this refund, effectively leaving a 10% duty on tea imported into Britain. The act also restored the tea taxes within Britain that had been repealed in 1767, and left in place the three pence Townshend duty in the colonies. With this new tax burden driving up the price of British tea, sales plummeted. The company continued to import tea into Great Britain, however, amassing a huge surplus of product that no one would buy. For these and other reasons, by late 1772 the East India Company, one of Britain's most important commercial institutions, was in a serious financial crisis. The severe famine in Bengal from 1769 to 1773 had drastically reduced the revenue of the East India Company from India bringing the Company to the verge of bankruptcy and the Tea Act of 1773 was enacted to help the East India Company."
can you get a negative score in golf,True,"For ease of explanation, assume a player's handicap gives him/her one stroke per hole (i.e., 9-hole handicap of 9). This player, playing to his/her handicap on a given day, will average a bogey on each hole. Playing 'to' ones handicap is expected and so there is no reward or punishment due when a bogey 5 is recorded on a par 4. Thus, a 0 (zero) is recorded. A double-bogey 6 (one over what's expected from a player on a 9 handicap, would incur a penalty of a minus '−'. A 4 (a genuine, unadjusted par) is one better than a '9-handicapper' would be expected to score and would earn a plus '+'. However, for this golfer, 6s and above still incur just one minus '−'. Likewise, 4s and below earn just one plus '+'. At the end of the round, plusses and minuses are reconciled (a minus cancels out a plus). If a player finishes with two plusses, s/he is 'two up' or 'plus 2' (+2). The opposite applies if s/he finishes with two minuses - 'two down'; 'minus 2'; '−2'."
is hillsong young and free the same as hillsong united,True,"The group formed in 2012 out of Sydney, Australia, where they were located at Hillsong Church. Their members are worship leaders, Aodhan King, Alexander Pappas, Tyler Douglass, Renee Sieff, Ben Tan, and Melodie Wagner. Hillsong United (launched in 1998), the original group, got underway when the members were all pretty young, because it was started as part of the youth ministry at Hillsong Church. As they evolved and started to mature, have families of their own and take on adulthood, many people at the church felt that there was a need for a new group that would aim its message at younger people with a stimulating new sound."
is paraffin wax the same as petroleum jelly,True,"Petroleum jelly, petrolatum, white petrolatum, soft paraffin/paraffin wax or multi-hydrocarbon, CAS number 8009-03-8, is a semi-solid mixture of hydrocarbons (with carbon numbers mainly higher than 25), originally promoted as a topical ointment for its healing properties."
if a table contains a primary key there can be no duplicate records in a table,False,"In terms of the relational model of databases, a table can be considered a convenient representation of a relation, but the two are not strictly equivalent. For instance, an SQL table can potentially contain duplicate rows, whereas a true relation cannot contain duplicate tuples. Similarly, representation as a table implies a particular ordering to the rows and columns, whereas a relation is explicitly unordered. However, the database system does not guarantee any ordering of the rows unless an ORDER BY clause is specified in the SELECT statement that queries the table."
