q_number,passage,question,actual_answer,ensemble_pred,phi_pred,mistral_pred,llama_pred,gpt4o_mini_pred,gpt41_mini_pred
911,"The second season of the American web television series The Punisher, which is based on the Marvel Comics character of the same name, revolves around Frank Castle ruthlessly hunting down criminals. It is set in the Marvel Cinematic Universe (MCU), sharing continuity with the films and other television series of the franchise. The season is produced by Marvel Television in association with ABC Studios and Bohemian Risk Productions, with Steven Lightfoot serving as showrunner.",will there be a season two of punisher,True,True,True,True,True,True,True
913,"Archie Comics trademarked the term 'Bughead', the name created by fans of the relationship between Betty and Jughead in both comics and the CW Riverdale. Betty and Jughead are canon, romantically, so far only in the 'Riverdale' universe, though Archie Comics has introduced their sleuthing relationship and subsequent ship name (#bughead) into their run of Riverdale comics.",did jughead and betty date in the comics,False,False,False,True,False,False,False
916,"No plans were made by the Western Allies to seize the city by a ground operation. The Supreme Commander (Western) Allied Expeditionary Force, General Eisenhower lost interest in the race to Berlin and saw no further need to suffer casualties by attacking a city that would be in the Soviet sphere of influence after the war, envisioning excessive friendly fire if both armies attempted to occupy the city at once. The major Western Allied contribution to the battle was the bombing of Berlin during 1945. During 1945 the United States Army Air Forces launched very large daytime raids on Berlin and for 36 nights in succession, scores of RAF Mosquitos bombed the German capital, ending on the night of 20/21 April 1945 just before the Soviets entered the city.",was the us involved in the battle of berlin,True,True,True,True,True,True,True
944,"Resident Evil 7 is the first full-length game to use Capcom's in-house RE Engine. The development was led by Koshi Nakanishi, director of the 2012 Nintendo 3DS game Resident Evil: Revelations. It was presented as a virtual reality demo, Kitchen, a year prior to its announcement at E3 2016, and supports the PlayStation VR headset. Resident Evil 7 was considered a return to form for the series; critics praised the gameplay, graphics, and design, but criticized the boss battles and the final chapter. The PlayStation VR version received positive reviews, with some criticism including decreased resolution and physical discomfort. By March 2018, the game had sold over five million copies worldwide. Its initial release was followed by two downloadable scenarios, Not a Hero and End of Zoe.",is resident evil 7 vr the full game,True,False,True,False,False,True,False
947,"In December 2017, The Walt Disney Company agreed to acquire assets from 21st Century Fox, including 20th Century Fox, for $52.4 billion. The following June, after a counter offer from Comcast worth $65 billion, Disney increased its offer to $71.3 billion. The acquisition would see the return of the film rights to Deadpool, and the X-Men and Fantastic Four characters to Marvel Studios, which would ``create richer, more complex worlds of inter-related characters and stories.'' In July 2018, Feige noted discussions had begun with Disney regarding any potential involvement Marvel Studios could have with Disney's streaming service, since Feige felt the service was ``an important thing for the company''.",is fantastic four part of marvel cinematic universe,False,True,True,False,False,True,True
958,"In October 2014, Marvel announced a two-part sequel to Avengers: Age of Ultron, titled Avengers: Infinity War. Part 1 was scheduled to be released on May 4, 2018, with Part 2 scheduled for May 3, 2019. In April 2015, Marvel announced that Anthony and Joe Russo would direct both parts of Avengers: Infinity War, with back-to-back filming expected to begin in 2016. The same month, Kevin Feige said the films would be two, distinct films ``because they (have) such shared elements, it felt appropriate... to (subtitle the films) like that. But I wouldn't call it one story that's cut in half. I would say it's going to be two distinct movies.'' By May 2015, Christopher Markus & Stephen McFeely signed on to write the screenplays for both parts of the film, which draws inspiration from Jim Starlin's 1991 ``The Infinity Gauntlet'' comic and Jonathan Hickman's 2013 ``Infinity'' comic. Anthony Russo added the film was inspired by 1990s heist films, with Thanos on ``on a smash-and-grab (to acquire the Infinity Stones), and everybody's trying to catch up the whole movie.'' In May 2016, the Russos revealed that they would be retitling the two films, to further remove the misconception that the films were one large film split in two, with Joe stating, ``The intention is we will change (the titles), we just haven't come up with (them) yet.'' That July, Marvel revealed the film's title would be shortened to simply Avengers: Infinity War.",is infinity war going to be 2 parts,True,False,True,False,False,False,False
959,"Dorothy Gale is a fictional character created by American author L. Frank Baum as the main protagonist in many of his Oz novels. She first appears in Baum's classic children's novel The Wonderful Wizard of Oz (1900) and reappears in most of its sequels. In addition, she is the main character in various adaptations, notably the classic 1939 film adaptation of the novel, The Wizard of Oz.",did dorothy from wizard of oz have a last name,True,False,True,False,False,False,True
973,"All of the Oz sequences were filmed in three-strip Technicolor. The opening and closing credits, as well as the Kansas sequences, were filmed in black and white and colored in a sepia-tone process. Sepia-toned film was also used in the scene where Aunt Em appears in the Wicked Witch's crystal ball.",was wizard of oz originally in black and white,False,True,True,True,False,True,False
993,"Wembley Park is a London Underground station in Wembley Park, north west London. The station is served by the Underground's Metropolitan and Jubilee Lines and is in Travelcard Zone 4. It is located on Bridge Road (A4089) and is the nearest Underground station to the Wembley Stadium and Wembley Arena complex. This is where the Jubilee line from Stanmore diverges from the Metropolitan line which was formerly a branch of the Metropolitan Railway and was taken over by the Bakerloo line and today part of the Jubilee line.",is there a tube station at wembley stadium,False,True,True,False,False,True,True
997,The Øresund or Öresund Bridge (Danish: Øresundsbroen (ˈøːɐsɔnsˌbʁoːˀn̩); Swedish: Öresundsbron (œːrɛ2sɵnːdsˌbruːn); hybrid name: Øresundsbron) is a combined railway and motorway bridge across the Øresund strait between Sweden and Denmark. The bridge runs nearly 8 kilometres (5 miles) from the Swedish coast to the artificial island Peberholm in the middle of the strait. The crossing is completed by the 4-kilometre (2.5 mi) Drogden Tunnel from Peberholm to the Danish island of Amager.,is there a tunnel between denmark and sweden,True,True,True,True,False,True,True
1018,"In July 2004, as a result of the publicity generated by Malan's article and the subsequent documentary, the song became the subject of a lawsuit between Linda's estate and Disney, claiming that Disney owed $1.6 million in royalties for the use of ``The Lion Sleeps Tonight'' in the film and musical stage productions of The Lion King. At the same time, the Richmond Organization began to pay $3,000 annually into Linda's estate. In February 2006, Linda's descendants reached a legal settlement with Abilene Music Publishers, who held the worldwide rights and had licensed the song to Disney, to place the earnings of the song in a trust.",is the song in the jungle in the lion king,True,True,True,False,False,True,True
1031,"The most recent Rookie of the Year winner is Malcolm Brogdon. Twenty-one winners were drafted first overall. Fourteen winners have also won the NBA Most Valuable Player (MVP) award in their careers; Wilt Chamberlain and Wes Unseld earning both honors the same season. Nineteen of the forty two non-active winners have been elected to the Naismith Memorial Basketball Hall of Fame. Three seasons had joint winners--Dave Cowens and Geoff Petrie in the 1970--71 season, Grant Hill and Jason Kidd in the 1994--95 season, and Elton Brand and Steve Francis in the 1999--2000 season. Five players won the award unanimously (by capturing all of the first-place votes) -- Ralph Sampson, David Robinson, Blake Griffin, Damian Lillard, and Karl-Anthony Towns.",has any nba player won mvp as a rookie,True,True,True,True,False,True,True
1041,"The pelvic skeleton is formed posteriorly (in the area of the back), by the sacrum and the coccyx and laterally and anteriorly (forward and to the sides), by a pair of hip bones. Each hip bone consists of 3 sections, ilium, ischium, and pubis. During childhood, these sections are separate bones, joined by the triradiate cartilage. During puberty, they fuse together to form a single bone.",is the pelvic bone the same as the hip bone,True,False,True,True,False,False,False
1053,"Since 1996, a federal law has prohibited non-citizens from voting in federal elections, punishing them by fines, imprisonment, inadmissibility, and deportation. Exempt from punishment is any non-citizen who ``reasonably believed at the time of voting (...) that he or she was a citizen of the United States,'' had a parent who is or was a citizen, and began permanently living in the United States before turning 16 years old. The federal law does not prohibit non-citizens from voting in state or local elections, but no state has allowed non-citizens to vote in state elections since Arkansas became the last state to outlaw non-citizen voting in 1926. 11 local governments, 10 of them in Maryland, allow non-citizens to vote in their local elections (Takoma Park, Barnesville, Martin's Additions, Somerset, Chevy Chase Sections 3 and 5, Glen Echo, Garrett Park, Hyattsville, Mount Rainer and Riverdale Park). San Francisco allows noncitizens parents to vote in School Board elections (beginning in 2018).",do you have to be a citizen of the us to vote,True,True,True,False,True,True,False
1054,"Although these units relate to the metric system, all of them have been considered obsolete in science since the adoption of the SI system. The unit of energy in the International System of Units is the joule. One small calorie is approximately 4.2 joules (so one large calorie is about 4.2 kilojoules). The factor used to convert calories to joules at a given temperature is numerically equivalent to the specific heat capacity of water expressed in joules per kelvin per gram (or per kilogram, for kilocalories). The precise conversion factor depends on the definition adopted.",is 1 joule of heat bigger than one calorie,False,False,True,False,False,False,False
1062,"Contraction of the muscles has a number of different purposes. Its principal function in the majority of mammals is to provide insulation: air becomes trapped between the erect hairs, helping the animal retain heat. Erection of the porcupine's long, thick hairs causes the animal to become more intimidating, scaring predators. Pressure exerted by the muscle may cause sebum to be forced along the hair follicle towards the surface, protecting the hair.",can an arector pili muscle change the surface area of your skin,False,True,True,True,True,False,False
1070,The bullsnake (Pituophis catenifer sayi) is a large non-venomous colubrid snake. It is currently considered a subspecies of the gopher snake (Pituophis catenifer).,are gopher snakes and bull snakes the same,False,False,False,True,False,False,True
1082,"In veterinary practice, ear mite infections in dogs and cats may present as a disease that causes intense itching in one or both ears, which in turn triggers scratching at the affected ear. An unusually dark colored ear wax (cerumen) may also be produced. Cats, as well as dogs with erect ears that have control over ear direction, may be seen with one or both ear pinnas held at an odd or flattened angle.",can ear mites only be in one ear,False,True,True,True,False,True,False
1086,The show is often famed as having been the place that record producer Simon Cowell made his television debut. The video (of his appearance on the 1989 version) is available on YouTube and extracts of it were shown during the National Television Awards whilst Cowell was receiving the Lifetime Achievement Award. Cowell appeared on 2 episodes (winning his first game) and won only £20 worth of cooking utensils.,did simon cowell won sale of the century,False,True,True,False,True,False,True
1089,"On 19 October 2015, the Seven Network and South Pacific Pictures renewed the show for a second season. It premiered on 23 August 2016 in Australia. On January 24, 2017, the Seven Network announced that the series had been renewed for a third season. It screened from 12 September 2017 with a mid-season finale after 8 episodes.",will there be a 3rd series of 800 words,True,True,True,True,True,True,True
1100,"Star Trek Beyond is a 2016 American science fiction adventure film directed by Justin Lin and written by Simon Pegg and Doug Jung, based on the series Star Trek created by Gene Roddenberry. It is the thirteenth film in the Star Trek film franchise and the third installment in the reboot series, following Star Trek (2009) and Star Trek Into Darkness (2013). Chris Pine and Zachary Quinto reprise their respective roles as Captain James T. Kirk and Commander Spock, with Pegg, Karl Urban, Zoe Saldana, John Cho, and Anton Yelchin reprising their roles from the previous films. This was also one of Yelchin's last films before his death in June 2016. Idris Elba, Sofia Boutella, Joe Taslim, and Lydia Wilson also appear.",is there going to be a star trek 3,True,True,True,True,True,False,False
1103,"Entering a store on his way home, Batou is then seemingly warned by the Major and shot in the arm by an unseen assailant. Caught in a firefight, Batou nearly kills the store owner in confusion, but is subdued when Ishikawa appears. While having his damaged arm replaced, Batou is informed by Ishikawa that his e-brain was hacked, causing him to shoot himself and attack the store occupants. Ishikawa explains that Batou was hacked to try and cause further scandal following his Yakuza assault in an attempt to stop the Section 9 investigation.",is the major in ghost in the shell 2,True,False,False,False,True,True,False
1111,"The fifth season of Prison Break (also known as Prison Break: Resurrection) is a limited event television series and a revival of the original series created by Paul Scheuring that aired on Fox from 2005 to 2009. The season is produced by 20th Century Fox Television in association with Adelstein/Parouse Productions and Original Film. Paul Scheuring serves as showrunner, with himself, Marty Adelstein, Neal H. Moritz and Dawn Olmstead, Vaun Wilmott, Michael Horowitz and Nelson McCormick serving as executive producers. McCormick also serves as director. The season premiered on April 4, 2017, and concluded on May 30, 2017, consisting of 9 episodes.",is there going to be a season 5 of prison break,True,True,True,True,True,False,True
1117,"The device incorporates a dual-axis tuning fork gyroscope, and a single-axis gyroscope which can determine rotational motion. The information captured by the angular rate sensor can then be used to distinguish true linear motion from the accelerometer readings. This allows for the capture of more complex movements than possible with the Wii Remote alone.",will wii motion plus controller work regular wii,True,True,True,True,False,True,True
1121,"Northern Ireland (Irish: Tuaisceart Éireann (ˈt̪ɣuəʃcəɾɣt̪ɣ ˈeːɾjən̪ɣ) ( listen); Ulster-Scots: Norlin Airlann) is a part of the United Kingdom in the north-east of the island of Ireland, variously described as a country, province or region. Northern Ireland shares a border to the south and west with the Republic of Ireland. In 2011, its population was 1,810,863, constituting about 30% of the island's total population and about 3% of the UK's population. Established by the Northern Ireland Act 1998 as part of the Good Friday Agreement, the Northern Ireland Assembly holds responsibility for a range of devolved policy matters, while other areas are reserved for the British government. Northern Ireland co-operates with the Republic of Ireland in some areas, and the Agreement granted the Republic the ability to ``put forward views and proposals'' with ``determined efforts to resolve disagreements between the two governments''.",is northern ireland a separate country from southern ireland,True,False,True,False,False,True,False
1122,"Air Force One is the official air traffic control call sign for a United States Air Force aircraft carrying the President of the United States. In common parlance the term describes those Air Force aircraft designed, built, and used to transport the president. The presidential aircraft is a prominent symbol of the American presidency and its power.",is air force one any plane the president is on,True,True,True,True,True,False,True
1125,"The city of Lloydminster is the only exception to this arrangement. Located partly in Saskatchewan and partly in Alberta, it observes Mountain Time year-round, and changes its clocks for DST. Since Lloydminster does change its clocks, the time in Saskatchewan is the same in all parts of the province during the summer months.",is there a time change between alberta and saskatchewan,True,False,True,True,False,False,False
1133,"The system was introduced after George Washington had announced his retirement upon the end of his second term, when the Democratic-Republican Party, and Federalist Party began contesting elections on a partisan basis. Both parties may have held informal caucuses in 1796 to try to decide on their candidates. After the disorganized electoral voting of 1796, both parties held formal caucuses in 1800 that selected their respective presidential candidates (prior to the ratification of the 12th Amendment in 1804 each party ran two presidential candidates). The Federalists secretly held their caucus in early May, but later made their ticket of President John Adams and Charles Cotesworth Pinckney public. The Democratic-Republicans also secretly met in May, and agreed to equally support Thomas Jefferson and Aaron Burr for president. The Federalists did not hold another caucus after 1800.",originally presidential candidates were selected by party caucuses in congress,True,False,True,False,False,True,False
1149,"Brian Anderson (born June 7, 1971) is an American sportscaster. Since 2007, he has called play-by-play for the Milwaukee Brewers' telecasts on FSN Wisconsin. As a part of his work on the 2007 Brewers Preview Show, Anderson and the FSN team were awarded a regional Emmy Award.",does brian anderson still work for the brewers,True,False,True,True,False,,False
1162,"A few of the jackets seen on the street are genuine navy surplus; being a classic garment, it is frequently available from retailers, though often with small design changes that reflect the current fashion trends. The standard for historical pea coats was 30 ounces (approx. 850 g) wool, most often made of heavy Melton cloth through the 1970s in the U.S. Navy. Presently coats are made from 22--32 oz (620--910 g) wool. While pea coats are offered in many colors by retailers, the US Navy-issue pea coat is dark blue.",does the us navy still issue pea coats,True,False,True,False,False,,False
1200,"The following is a partial list of apps compatible with Google Cast, and the platforms on which each can run. The first Google Cast receiver released was Google's Chromecast in July 2013; a digital media player in the form of an HDMI dongle, the device streams media wirelessly via Wi-Fi after a selection is made through a supported mobile or web app, such as those listed below. Unofficial Google Cast receivers followed, before Google released a second official receiver, the Nexus Player, in November 2014.",do i need the chromecast app to cast,False,False,True,False,True,False,False
1224,"If a player is able to meld all of their cards at once, they may say ``Rummy'' on their turn and go out. To declare Rummy, a player must not have melded or laid off any cards prior during the hand. If playing with the discard rule, they must also discard after melding. If a player goes rummy when a card can be played, that player is out for that turn. Game players are still in game but the hand goes dead. Playing for Rummy is more risky, but it carries the reward of double the score. Each player must wait until their second turn to go out. If there is a rummy lying in the pile, the player who called ``rummy'' can play that card while the player who laid the rummy must then draw 2 cards from the stock pile or pick up the entire discarded pile.",when you call rummy do you pick up the whole pile,False,True,True,False,True,False,True
1228,"Square D is an American manufacturer of electrical equipment headquartered in Andover, Massachusetts. Square D is a flagship brand of Schneider Electric, which acquired Square D in 1991.",is square d and schneider electric the same company,True,False,False,True,False,True,False
1254,"Unlike most Western countries, 18 of the U.S. states do not have a legal minimum age of marriage. Individuals aged 18 have the ability to marry in U.S. states except Nebraska (19) and Mississippi (21). In addition, all states, except Delaware and New Jersey, allow minors to marry in certain circumstances, such as parental consent, judicial consent, pregnancy, or a combination of these situations. Most states allow parties aged 16 and 17 to marry with parental consent alone. In most states, children under 16 can be married too. In the 32 states which have an absolute minimum age set by statute, this age varies between 14 and 18, while in 18 states there is no statutory minimum age if other legal conditions are met. Although in such states there is no set minimum age by statute, the traditional common law minimum age is 14 for boys and 12 for girls - ages which have been confirmed by case law in some states. Over the past 15 years, more than 200,000 minors married in US, and in Tennessee girls as young as 10 were married in 2001, before the state finally set a minimum age of 17 in 2018.",is there an age limit to get married,False,True,False,False,True,True,True
1258,"In the United States, chickenhawk or chicken hawk is an unofficial designation for three species of North American hawks in the family Accipitridae: Cooper's hawk, also called a quail hawk, the sharp-shinned hawk, and the red-tailed hawk. The term ``chicken hawk'', however, is inaccurate. Although Cooper's and sharp-shinned hawks may attack other birds, chickens do not make up a significant part of their diets; red-tailed hawks have varied diets, but may opportunistically hunt free-range poultry.",is there such thing as a chicken hawk,True,False,True,False,False,False,True
1266,"Anthony Pratt and Celia Bobak were nominated for the Academy Award for Best Art Direction, as was John Mathieson for Cinematography. However, both categories were awarded to The Aviator. Andrew Lloyd Webber and lyricist Charles Hart were nominated for the Academy Award for Best Original Song (``Learn to Be Lonely'') but lost to ``Al otro lado del río'' from The Motorcycle Diaries. The song was also nominated for the Golden Globe but it lost to Alfie's ``Old Habits Die Hard''. In the same ceremony, Emmy Rossum was nominated for Best Actress in a Motion Picture Musical or Comedy, losing to Annette Bening in Being Julia. At the Saturn Awards, Rossum won for Best Performance by a Younger Actor, while The Phantom of the Opera was nominated for Best Action/Adventure/Thriller Film and Alexandra Byrne was nominated for Costume Design.",did the phantom of the opera movie win any awards,True,False,False,False,True,True,False
1271,"Even though Turkey is a candidate country for the membership in the European Union, it has a more complex visa policy than the visa policy of the Schengen Area. Turkey requires visas from citizens of certain EU member states and Schengen Annex II countries and territories -- Antigua and Barbuda, Australia, Austria, Belgium, Bahamas, Barbados, Canada, Croatia, Cyprus, Dominica, East Timor, Grenada, Ireland, Kiribati, Malta, Marshall Islands, Mauritius, Mexico, Micronesia, Norway, Netherlands, Palau, Poland, Portugal, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Solomon Islands, Spain, Taiwan, Tonga, Tuvalu, United Arab Emirates, United Kingdom, United States, and Vanuatu. On the other hand, Turkey grants visa-free access to citizens of other countries and territories -- Azerbaijan, Belarus, Belize, Bolivia, Ecuador, Iran, Kosovo, Kyrgyzstan, Jordan, Lebanon, Mongolia, Morocco, Qatar, Russia, Tajikistan, Thailand, Tunisia, Turkmenistan and Uzbekistan.",do i need a visa for turkey from netherlands,True,True,False,True,False,True,True
1280,"Mayflies (also known as Canadian soldiers in the United States, and as shadflies or fishflies in Canada and the upper Midwestern U.S.; also up-winged flies in the United Kingdom) are aquatic insects belonging to the order Ephemeroptera. This order is part of an ancient group of insects termed the Palaeoptera, which also contains dragonflies and damselflies. Over 3,000 species of mayfly are known worldwide, grouped into over 400 genera in 42 families.",are mayflies and fish flies the same thing,True,True,True,True,False,True,True
1283,"The waterway allows passage from the Atlantic Ocean to the inland port of Duluth on Lake Superior, a distance of 2,340 miles (3,770 km) and to Chicago, on Lake Michigan, at 2,250 miles (3,620 km).",can you take a boat from chicago to the ocean,True,True,True,True,False,True,True
1284,"Although the New Jersey Plan only survived three days as an alternate proposal, substantial elements of it were adopted. The articles were ``revised, corrected and enlarged'' for good government and preservation of the Union. The Senate is elected by the states, at first by the state legislatures. Congress passes acts for revenue collected directly in the states, and the rulings of state courts are reviewed by the Supreme Court. State apportionment for taxes failed, but the 'house' is apportioned by the population count of free inhabitants and three-fifths of others originally. States can be added to the Union. Presidents appoint federal judges. Treaties entered into by Congress are the supreme law of the land. All state judiciaries are bound to enforce treaties, state laws notwithstanding. The President can raise an army to enforce treaties in any state. States treat a violation of law in another state as though it happened there.",state laws do not have to be approved by the federal government before they become effective,False,True,True,False,False,True,True
1288,"After T'Challa is left recovering from critical injuries sustained in battle, Shuri is tested and found suitable for the role of Black Panther and ruler of Wakanda. She possesses all the enhanced abilities given to the Black Panther via ancient Wakandan ritual, is a skilled martial artist, allowed access to extensive advanced technologies and wealth, and uses learned transmorphic capabilities.",does shuri become black panther in the comics,True,True,True,True,False,True,True
1293,"To maintain lactation, a dairy cow must be bred and produce calves. Depending on market conditions, the cow may be bred with a ``dairy bull'' or a ``beef bull.'' Female calves (heifers) with dairy breeding may be kept as replacement cows for the dairy herd. If a replacement cow turns out to be a substandard producer of milk, she then goes to market and can be slaughtered for beef. Male calves can either be used later as a breeding bull or sold and used for veal or beef. Dairy farmers usually begin breeding or artificially inseminating heifers around 13 months of age. A cow's gestation period is approximately nine months. Newborn calves are removed from their mothers quickly, usually within three days, as the mother/calf bond intensifies over time and delayed separation can cause extreme stress on both cow and calf.",do cows only produce milk when they have babies,True,True,True,False,True,True,True
1298,"A judge is not allowed to enter a JNOV of ``guilty'' following a jury acquittal in United States criminal cases; such an action would violate a defendant's Fifth Amendment right not to be placed in double jeopardy and Sixth Amendment right to a trial by jury. If the judge grants a motion to set aside judgment after the jury convicts, however, this action may be reversed on appeal by the prosecution.",can a judge overturn a jury verdict in a criminal case,False,False,True,False,False,True,False
1313,"The Marvel Cinematic Universe (MCU) is an American media franchise and shared universe that is centered on a series of superhero films, independently produced by Marvel Studios and based on characters that appear in American comic books published by Marvel Comics. The franchise has expanded to include comic books, short films, television series, and digital series. The shared universe, much like the original Marvel Universe in comic books, was established by crossing over common plot elements, settings, cast, and characters. Phil Coulson, portrayed by Clark Gregg, is an original character to the MCU and the only character to appear across all its different media.",are all marvel movies in the same universe,True,True,True,True,True,True,False
1324,"The Palace, despite being 29 years old at its closure, is still in top condition as a sporting and concert venue. However, it is located in a northern suburb, relatively far away from the city center, in light of the growing trend of ``walkable urbanism'' where the Pistons want to grow their fanbase. While there have been no official confirmations as of yet, the Palace is expected to be demolished, where it could be redeveloped to accommodate new auto supplier headquarters and research and development parks.",is the palace of auburn hills still standing,True,False,True,False,False,False,False
1331,"The Bar Council of India is a statutory body established under the section 4 of advocates Act 1961 that regulates the legal practice and legal education in India. Its members are elected from amongst the lawyers in India and as such represents the Indian bar. It prescribes standards of professional conduct, etiquettes and exercises disciplinary jurisdiction over the bar. It also sets standards for legal education and grants recognition to Universities whose degree in law will serve as a qualification for students to enroll themselves as advocates upon graduation.",is bar council of india a body corporate,False,False,False,False,False,True,False
1332,"Landon builds a telescope for Jamie to see a one-time comet in the springtime. Jamie's father helps him get it finished in time and it is brought to her on the balcony where she gets a beautiful view of the comet. It is then that Landon asks her to marry him. Jamie tearfully accepts, and they get married in the church where her mother got married. They spend their last summer together filled with strong love. Jamie's leukemia ends up killing her when summer ends.",did jamie live in a walk to remember,False,False,False,False,True,False,True
1333,"During the final episode of season 9, when Roseanne reveals that the entire ninth season was written as a book based on her life and family, she changed certain elements of what she had not liked; most notably, that Dan had actually died after having his heart attack in ``The Wedding'', near the end of season 8.",did roseanne's husband die in the original series,True,True,False,False,True,True,True
1334,"The Church of England (C of E) is the state church of England. The Archbishop of Canterbury (currently Justin Welby) is the most senior cleric, although the monarch is the supreme governor. The Church of England is also the mother church of the international Anglican Communion. It traces its history to the Christian church recorded as existing in the Roman province of Britain by the third century, and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury.",is the anglican church the same as the church of england,True,True,True,True,True,True,False
1345,"Charlie Cox stars as Murdock, with Deborah Ann Woll, Elden Henson, and Vincent D'Onofrio also returning from previous seasons; Wilson Bethel and Jay Ali join them. The season was ordered in July 2016, with Oleson announced as new showrunner for the season in October 2017. Filming began the following month and ended by June 2018, with the season adapting elements from the ``Born Again'' comic storyline.",is there gonna be a daredevil season 3,True,True,True,False,True,True,True
1349,"In the U.S. television industry, 100 episodes is the traditional threshold for a television series to become viable for syndication. One hundred episodes are advantageous for stripped syndication because it allows for 20 weeks of weekday reruns (depending on the number of episodes produced once the program debuts in syndication) without repeating an episode, and such shows can be sold for higher per episode pricing.",most television shows that reach 50 episodes minimum go into syndication and go into re-runs,False,False,True,False,False,False,False
1360,"A replica of the original Bates Motel set from the film Psycho was built on location at approximately 1054 272nd Street in Aldergrove, British Columbia, where portions of the series were filmed. The original house and motel is located in Universal Studios, Hollywood, Los Angeles. Additional filming for the series took place in multiple areas in British Columbia, including Steveston, Coquitlam, Horseshoe Bay, West Vancouver and Fort Langley. In February 2017, after filming was completed for the series, the Bates Motel exterior set in Aldergrove was demolished.",is the bates motel filmed at universal studios,True,False,False,False,True,True,False
1362,"In Season two, she starts going out with a man named Gabriel whom she met at the gym, and whom she suspects (incorrectly) of trying to use her notoriety following the Ice Truck Killer case to jumpstart his writing career. After that ends, she goes out with Frank Lundy, a man 25 years her senior who has to leave Miami at the end of season two, although she resumes her relationship with him in season four. She then starts a relationship with her Confidential Informant Anton Briggs. She breaks up with him to resume her relationship with Lundy, who is murdered. In the season five premiere she sleeps with her partner, Joey Quinn, who tries unsuccessfully to move the relationship into something more than purely sexual. By the end of season 6, she comes to believe that she is in love with her adoptive brother, Dexter -- only to find out that he is a serial killer. In season 7, she has feelings for true crime writer Sal Price, but he is murdered as well.",does debra morgan fall in love with dexter,True,True,True,False,False,True,True
1368,"India qualified by default (by chance) for the 1950 FIFA World Cup finals as a result of the withdrawal of all of their scheduled opponents. But the governing body AIFF decided against going to the World Cup, being unable to understand the importance of the event at that time. Reasons shown by the AIFF included the cost of travel (despite the fact that FIFA agreed to bear a major part of the travel expenses) lack of practice time, team selection issues and valuing the Olympics over the FIFA World Cup.",did india ever qualified for fifa world cup,True,True,True,False,True,False,True
1374,"The vulcanization of neoprene or polychloroprene rubber (CR rubber) is carried out using metal oxides (specifically MgO and ZnO, sometimes PbO) rather than sulfur compounds which are presently used with many natural and synthetic rubbers. In addition, because of various processing factors (principally scorch, this being the premature cross-linking of rubbers due to the influence of heat), the choice of accelerator is governed by different rules to other diene rubbers. Most conventionally used accelerators are problematic when CR rubbers are cured and the most important accelerant has been found to be ethylene thiourea (ETU), which, although being an excellent and proven accelerator for polychloroprene, has been classified as reprotoxic. The European rubber industry has started a research project SafeRubber to develop a safer alternative to the use of ETU.",is a non metal used in the vulcanisation of rubber,False,False,True,False,False,True,False
1381,"Lethal Weapon is an American buddy cop action comedy-drama television series that is based on the film series of the same name created by Shane Black. The series was ordered on May 10, 2016 and premiered on Fox on September 21, 2016. On October 12, 2016, Fox picked up the series for a full season of 18 episodes. On February 22, 2017, Fox renewed the series for a second season, which premiered on September 26, 2017.",is there a new series of lethal weapon,True,True,False,True,True,False,True
1383,The Scottish Hydro name was used as a brand name by SSE plc for supplying gas and electricity in Scotland and by Scottish Hydro-Electric Power Distribution Ltd the Distribution Network Operator in the north of Scotland. The power consumption of the north is largely handled by Scottish Hydro. The company now uses the SSE brand throughout the UK>,are scottish hydro and sse the same company,True,True,True,True,False,False,True
1389,"Members of a junior varsity team are underclassmen determined by the coaching staff to have less experience or ability than those on the varsity roster. As such, junior varsity teams are used to prepare these athletes to compete at the varsity level. In other schools, the line between JV and varsity is arbitrary, with all players at a certain grade level (usually seniors and, in smaller schools, juniors) at varsity and all others below that grade level at JV, with only a few exceptions for highly talented (or well-connected) student athletes, or much smaller schools where - due to their low enrollment - are limited in the number of upperclassmen athletes.",can a senior in high school play junior varsity,True,True,True,False,False,True,True
1393,"Rolled oats that are sold as porridge oats usually have had the tough bran removed. They have often, but not always, been lightly baked or pressure-cooked or ``processed'' in some fashion. Thick-rolled oats are large whole flakes, and thin-rolled oats are smaller, fragmented flakes. Oat flakes that are simply rolled whole oats without further processing can be cooked into a porridge and eaten as ``old-fashioned'' oats, but more highly fragmented and processed rolled oats absorb water much more easily and therefore cook faster into a porridge, so they are sometimes called ``quick'' or ``instant'' oats. Rolled oats are most often the main ingredient in granola and muesli.",is old fashion oats the same as rolled oats,False,False,True,False,True,False,False
1424,"The Rage: Carrie 2 is a 1999 American supernatural horror film directed by Katt Shea and a sequel to the 1976 horror film Carrie, based on the novel of the same name by Stephen King, and features Carrie White's baby half-sister Rachel Lang in the lead role. Directed by Katt Shea, the film stars Emily Bergl, Jason London, Dylan Bruno, J. Smith-Cameron, and Amy Irving who reprises her role of Sue Snell from the previous film.",is there going to be a carrie 2,True,True,True,True,True,True,True
1430,"The Xbox 360 controller is the primary controller for the Microsoft Xbox 360 video game console that was introduced at E3 2005. The Xbox 360 controller comes in both wired and wireless versions. Original Xbox controllers are not compatible with the Xbox 360. The wired and wireless versions are also compatible with Microsoft PC operating systems, such as Windows XP, Windows Vista, Windows 7, Windows 8, and Windows 10.",are all xbox 360 controllers compatible with pc,True,True,True,True,False,True,True
