q_number,passage,question,actual_answer,4o_pred
2171,"Canadian law requires that all persons entering Canada must carry proof of both citizenship and identity. A valid U.S. passport or passport card is preferred, although a birth certificate, naturalization certificate, citizenship certificate, or another document proving U.S. nationality, together with a government-issued photo ID (such as a driver's license) are acceptable to establish identity and nationality. However, the documents required to return to the United States can be more restrictive (for example, a birth certificate and photo ID are insufficient) -- see the section below on Return entry into the U.S.",can a us citizen drive into canada without a passport,True,True
2181,"After a season of failed attempts to get herself and her sons out of Charming (including a false pregnancy and subsequently faked miscarriage to bar Gemma Teller-Morrow from gaining custody of Abel and Thomas, should Tara go to prison), and after Tara and Jax's relationship was tested (Tara and Jax are having problems with her being behind bars for her involvement in the death of a nurse. Jax is seen at the end of episode 1 cheating on Tara with Colette Jane, an escort handler) Tara finds herself at odds with everyone she was supposed to be able to trust and chooses to use the bullet she pulled from Bobby Munson's shoulder as evidence necessary to grant her witness protection, in turn making her a rat and a liability to the MC and to Jax himself. In a last-minute plot twist, Jax finds Tara at a park in Lodi. They talk for several minutes and then the scene cuts to the motel room Tara had been hiding in. The two come to an understanding and Jax surrenders himself to the mercy of DA Tyne Patterson in exchange for Tara's immunity for all the crimes she committed on behalf the MC, specifically that of the murder of Pamela Toric, for which she was accused in season 5 but did not have anything to do with. The DA agrees to what Jax offers her after a few moments of reluctance to believe that he will come through. With that, Jax has let Tara know that he truly loves her and their sons more than anything. They cry and make love. Tara and Jax agree to meet the DA at the Teller home at 6pm after he spends his last hours as a free man with his sons. He tells Chibs and Bobby he will most likely be sentenced to 25 years, with parole in 10, 7 if he's lucky. Tara gets home earlier than expected and the house is empty, save for Eli, the sheriff, who entered the house with her so they could talk in private and he could help her bring her suitcases into the house, as she decided not to run away and do what Jax asked of her; raise their sons.",does tara get out of jail in season 6,True,True
2187,"Grade pay, level, and rank are used interchangeably by 7CPC and government in its various implementation orders The 20 distinct pay grades or ranks in the government hierarchy, intended to 'determine the status', and the Seniority of a post. and make ``Pay scales ...irrelevant for purposes of computing seniority''. proposed by the 6CPC , and accepted by the Congress I government, in 2008, have been replaced by 18 ``New functional levels'' l which the BJP government has accepted on 25 July 2016.",is there grade pay in 7th pay commission,True,False
2236,"As the governing body of association football, FIFA is responsible for maintaining and implementing the rules that determine whether an association football player is eligible to represent a particular country in officially recognised international competitions and friendly matches. In the 20th century, FIFA allowed a player to represent any national team, as long as the player held citizenship of that country. In 2004, in reaction to the growing trend towards naturalisation of foreign players in some countries, FIFA implemented a significant new ruling that requires a player to demonstrate a ``clear connection'' to any country they wish to represent. FIFA has used its authority to overturn results of competitive international matches that feature ineligible players.",do you have to be a citizen to play in fifa,True,True
2253,"Puerto Rico (Spanish for ``Rich Port''), officially the Commonwealth of Puerto Rico (Spanish: Estado Libre Asociado de Puerto Rico, lit. ``Free Associated State of Puerto Rico'') and briefly called Porto Rico, is an unincorporated territory of the United States located in the northeast Caribbean Sea, approximately 1,000 miles (1,600 km) southeast of Miami, Florida.",is puerto rico located in the united states,False,False
2277,"From 18 March 1975 to 4 January 2003, the dinar was pegged to a weighted currency basket. From 5 January 2003 until 20 May 2007, the pegging was switched to 1 US dollar = 0.29963 dinar with margins of ±3.5%. The central rate translates to approximately 1 KD = $3.53 USD",is the kuwaiti dinar pegged to the dollar,True,False
2285,"Mamma Mia! (promoted as Benny Andersson & Björn Ulvaeus' Mamma Mia!) is a jukebox musical written by British playwright Catherine Johnson, based on the songs of ABBA composed by Benny Andersson and Björn Ulvaeus, former members of the band. The title of the musical is taken from the group's 1975 chart-topper ``Mamma Mia''. Ulvaeus and Andersson, who composed the original music for ABBA, were involved in the development of the show from the beginning. Singer Anni-Frid Lyngstad has been involved financially in the production and she has also been present at many of the premieres around the world.",did abba write all the songs for mamma mia,True,True
2286,"The U.S. Passport Card is the de facto national identification card of the United States and a limited travel document issued by the federal government of the United States in the size of a credit card. Like a U.S. passport book, the passport card is only issued to U.S. citizens and U.S. nationals exclusively by the U.S. Department of State and is compliant to the standards for identity documents set by the REAL ID Act and can be used as proof of U.S. citizenship. The passport card's intended primary purpose is for identification and to allow cardholders to travel by domestic air flights within the United States and to enter and exit the United States via land and sea between member states of the Western Hemisphere Travel Initiative (WHTI). However, the passport card cannot be used for international air travel.",can you use a passport card to board a plane,True,True
2290,"Actress Nivetha Pethuraj joined the film's cast in September 2016. She was selected due to her knowledge of martial arts. She is trained in jujutsu and kickboxing. Aaron Aziz, a Malaysian-based actor who mostly performed in Malaysian and Singaporean drama and films, was selected as the lead villain, marking his entry into Tamil cinema. Jayam Ravi's son, Aarav, plays the role of his son in this film too.",is jayam ravi son acted in tik tik tik,True,True
2308,"Katie Holmes, who began working with a vocal coach, was the front-runner for Christine Daaé in March 2003. She was later replaced by Anne Hathaway, a classically trained soprano, in 2004. However, Hathaway dropped out of the role because the production schedule of the film overlapped with The Princess Diaries 2: Royal Engagement, which she was contractually obligated to make. Hathaway was then replaced with Emmy Rossum. The actress modeled the relationship between the Phantom and Christine after Suzanne Farrell and George Balanchine. Patrick Wilson was cast as Raoul based on his previous Broadway theatre career. For the role of Carlotta, Minnie Driver devised an over-the-top, camp performance as the egotistical prima donna. Despite also lacking singing experience, Ciarán Hinds was cast by Schumacher as Richard Firmin; the two had previously worked together on Veronica Guerin. Ramin Karimloo also briefly appears as the portrait of Gustave Daaé, Christine's father. Karimloo later played the Phantom as well as the role of Raoul on London's West End.",does patrick wilson sing in phantom of the opera,True,True
2327,"In addition, the upgrades included vastly widened 40,000-square-foot (3,700 m) concourses on the stadium's north and south sides. Bars, lounges and other amenities have also been added. The renovation had three phases, with the second and third phases of renovation taking place after the Marlins left the stadium. These remaining phases included adding a roof to shield fans from the rain, as well as remodeling the sidelines of the lower bowl to narrow the field and bring seats closer, ending its convertibility to baseball.",does the hard rock stadium have a roof,True,True
2391,"Friday the 13th is considered an unlucky day in Western superstition. It occurs when the 13th day of the month in the Gregorian calendar falls on a Friday, which happens at least once every year but can occur up to three times in the same year. In 2017, it occurred twice, on January 13 and October 13. In 2018, it also occurs twice, on April 13 and July 13. There will be two Friday the 13ths every year until 2020; 2021 and 2022 will have just one occurrence each.",is there any more friday the 13th in 2018,False,False
2416,"Most English Bibles, including those which contain Yahweh (such as the Jerusalem Bible) or a related form in the Old Testament, do not use the same form in the New Testament because it does not appear in the available Greek New Testament manuscripts. However, of over English translations of the Bible have been written, 23 use the forms Jehovah or Yahweh in the New Testament.",does the word jehovah appear in the new testament,True,False
2457,"Red Velvet cake is traditionally a red, red-brown, or ``mahogany'' colored layer cake, layered with white cream cheese icing or Ermine frosting (sometimes called ``cooked roux'' frosting). It has a distinctive fluffy texture owing to the gas-producing reaction of alkaline buttermilk with acidic vinegar and/or acidic non-alkalized cocoa. The cake is commonly served on Christmas or Valentine's Day. Common modern red velvet cake is made with red dye, however the red color was originally due to non-Dutched anthocyanin-rich cocoa.",is red velvet cake chocolate cake with red food coloring,True,False
2499,"The hosts of the World Cup receive an automatic berth. Unlike many other sports, results of the previous World Cups or of the continental championships are not taken into account. Until 2002, the defending champions also received an automatic berth, but starting from the 2006 World Cup this is no longer the case.",does the world cup champion have to qualify,True,True
2531,"Michigan, one of the fifty United States, is home to two types of lizards, nineteen types of snakes and eleven types of turtles, all members of the class Reptilia. Reptiles are found throughout Michigan, although the only venomous species, the eastern massasauga rattlesnake, is seen only in the Lower Peninsula. Reptiles are cold-blooded, and so usually pass the cold winters of Michigan in frost-free areas, such as underground burrows (for snakes and land-dwelling turtles) or the bottoms of lakes and streams (for water-dwelling turtles). Most reptiles in Michigan are protected by state law, but many are still at risk due to human encroachment on their habitats, the draining of wetlands and, in the case of snakes, indiscriminate killing by fearful humans. In 1995, the painted turtle was named as Michigan's state reptile.",are there snakes in the upper peninsula of michigan,True,True
2565,"India has never participated in the FIFA World Cup, although the team did qualify by default for the 1950 World Cup after all the other nations in their qualification group withdrew. However, India withdrew prior to the beginning of the tournament. The team has also appeared three times in the Asia's top football competition, the AFC Asian Cup. Their best result in the competition occurred in 1964 when the team finished as runners-up. India also participate in the SAFF Championship, the top regional football competition in South Asia. They have won the tournament six times since it began in 1993.",is india ever qualified for fifa world cup,True,True
2573,"Meyer has said that she is working on additional books in The Host series and that she intends to write a trilogy. She said in an interview that, if published, the first sequel would be entitled The Seeker and the second The Soul. In November 2009, she said, ``I'd like to eventually have The Host be part of a trilogy.'' In a Q&A session in Kansas City, Meyer said that she has outlines for the sequels and has done some writing on them, but she has some qualms since The Host universe is a ``dangerous place'' where characters might die, and she is not sure if she wants to kill them off.",is there a sequel to the host book,True,False
2581,"Multiplayer is available through player-hosted servers and enables multiple players to interact and communicate with each other on a single world. Interactions can be cooperative or hostile depending on the used server options. Players can run their own servers or use a hosting provider. Single player worlds have local area network support, allowing players to join worlds on locally interconnected computers without a server setup. Players are also able to provide Wide Area Network support via single player worlds. 7 Days to Die servers can run on both consoles, Windows and Linux. There are two supported game modes for multiplayer: Survival (both randomly generated and standard) and Creative.",7 days to die cross platform pc and xbox,True,False
2633,"The Washington Monument is an obelisk on the National Mall in Washington, D.C., built to commemorate George Washington, once commander-in-chief of the Continental Army and the first President of the United States. Located almost due east of the Reflecting Pool and the Lincoln Memorial, the monument, made of marble, granite, and bluestone gneiss, is both the world's tallest stone structure and the world's tallest obelisk, standing 554 feet 7 ⁄ inches (169.046 m) tall according to the National Geodetic Survey (measured 2013--14) or 555 feet 5 ⁄ inches (169.294 m) tall according to the National Park Service (measured 1884). It is the tallest monumental column in the world if all are measured above their pedestrian entrances. It was the tallest structure in the world from 1884 to 1889.",is the washington monument the tallest monument in the world,True,False
2639,"In the United States, the quantity of cigarettes in a pack must be at least 20. Certain brands, such as Export As, come in packs of 25. For many years, half-packs of 10 (or even 14) cigarettes were commonly available.",can you buy a half pack of cigarettes,False,False
2677,"A red light camera (short for red light running camera) is a type of traffic enforcement camera that captures an image of a vehicle which has entered an intersection in spite of the traffic signal indicating red (during the red phase). By automatically photographing vehicles that run red lights, the photo is evidence that assists authorities in their enforcement of traffic laws. Generally the camera is triggered when a vehicle enters the intersection (passes the stop-bar) after the traffic signal has turned red. Typically, a law enforcement official will review the photographic evidence and determine whether a violation occurred. A citation is then usually mailed to the owner of the vehicle found to be in violation of the law. These cameras are used worldwide, in countries including: Australia, New Zealand, Canada, the United Kingdom, Singapore and the United States. If a proper identification cannot be made, instead of a ticket, some police departments send out a notice of violation to the owner of the vehicle, requesting identifying information so that a ticket may be issued later.",are there red light cameras for left turns,False,
2683,"To maintain lactation, a dairy cow must be bred and produce calves. Depending on market conditions, the cow may be bred with a ``dairy bull'' or a ``beef bull.'' Female calves (heifers) with dairy breeding may be kept as replacement cows for the dairy herd. If a replacement cow turns out to be a substandard producer of milk, she then goes to market and can be slaughtered for beef. Male calves can either be used later as a breeding bull or sold and used for veal or beef. Dairy farmers usually begin breeding or artificially inseminating heifers around 13 months of age. A cow's gestation period is approximately nine months. Newborn calves are removed from their mothers quickly, usually within three days, as the mother/calf bond intensifies over time and delayed separation can cause extreme stress on both cow and calf.",do dairy cows have to be pregnant to produce milk,True,True
2689,"The fifteenth season of the American police procedural drama NCIS premiered on September 26, 2017, in the same time slot as in the previous seasons, Tuesdays at 8 PM. The season premiere was watched by 17.42 milion viewers, picking up two months after Gibbs and McGee were last seen fighting a group of rebels in Paraguay and focued on the aftermath of those events. The season concluded on May 22, 2018 and contained 24 episodes.",will there be a season 15 of ncis,True,True
2697,"Season 1 was shot inside of an actual grocery store, Field's Market in West Hills, California. For Season 2, the market was built in a 15,500 square foot warehouse in Santa Rosa, CA. It was built over two weeks and stocked with over $700,000 of food. After each episode, the perishable items were donated to local food banks and local farmers.",is the grocery store on guy's grocery games a real store,False,False
2712,"The Disneyland Monorail has two stations: one in Tomorrowland, and another in the Downtown Disney district. The original Monorail was a round trip ride with no stops. In 1961, the track was expanded to connect to a station at the Disneyland Hotel, making it an actual transportation system. The original Hotel station was torn down in 1999 and a new station, now called the Downtown Disney Station, was built in the same place. All riders must disembark at Tomorrowland Station, and during peak traffic periods, the monorail offers only one-way trips where all passengers must also disembark at the Downtown Disney Station and re-board for the return trip to Tomorrowland. Admission to Disneyland Park must be purchased to ride the monorail.",does the disneyland monorail stop at any hotels,True,False
2733,"Chicken fingers, also known as chicken tenders, chicken tendies, chicken goujons, chicken strips or chicken fillets, are chicken meat prepared from the pectoralis minor muscles of the animal. These strips of white meat are located on either side of the breastbone, under the breast meat, sometimes just pulverized chicken flesh. (pectoralis major). They may also be made with similarly shaped pieces cut from chicken meat, usually the breast.",is there a difference between chicken tenders and chicken fingers,False,False
2741,"Nintendo did not initially reveal Mario's full name. In a 1989 interview it was stated not to be ``Mario Mario'' despite the implication of the Mario Bros. series' title. The first notable use of ``Mario Mario'' was in the 1993 live-action film adaptation. This was again used in two of Prima's official strategy guides, in 2000 for Mario Party 2 and in 2003 for Mario and Luigi: Superstar Saga. In 2012 after Charles Martinet voiced Mario declaring himself ``Mario Mario'' at the San Diego Comic-Con the next month Satoru Iwata said he had no last name, which Shigeru Miyamoto agreed with the month after. Two months after Iwata's death in July 2015, Miyamoto changed his stance September 2015 at the Super Mario Bros. 30th Anniversary festival, confirming that his name was indeed Mario Mario.",do the mario brothers have a last name,True,True
2748,"The school voted to change its name to Okaloosa-Walton Community College in 1988, and gained four-year status in 2003, thus changing its name to Okaloosa-Walton College.",is northwest florida state college a 4 year college,True,True
2755,"Swift uses the same runtime as the extant Objective-C system, but requires iOS 7 or macOS 10.9 or higher. Swift and Objective-C code can be used in one program, and by extension, C and C++ also. In contrast to C, C++ code cannot be used directly from Swift. An Objective-C or C wrapper must be created between Swift and C++. In the case of Objective-C, Swift has considerable access to the object model, and can be used to subclass, extend and use Objective-C code to provide protocol support. The converse is not true: a Swift class cannot be subclassed in Objective-C.",is swift built on top of objective c,True,False
2769,"Lake Superior (French: Lac Supérieur; Ojibwe: ᑭᑦᒉᐁ-ᑲᒣᐁ, Gitchi-Gami) is the largest of the Great Lakes of North America. The lake is shared by the Canadian province of Ontario to the north, the U.S. state of Minnesota to the west, and Wisconsin and the Upper Peninsula of Michigan to the south. It is generally considered the largest freshwater lake in the world by surface area. It is the world's third-largest freshwater lake by volume and the largest by volume in North America. The furthest north and west of the Great Lakes chain, Superior has the highest elevation of all five great lakes and drains into the St. Mary's River.",is lake superior the largest fresh water lake in the world,True,True
2772,"When originally built, the first level contained three restaurants--one French, one Russian and one Flemish--and an ``Anglo-American Bar''. After the exposition closed, the Flemish restaurant was converted to a 250-seat theatre. A promenade 2.6-metre (8 ft 6 in) wide ran around the outside of the first level. At the top, there were laboratories for various experiments, and a small apartment reserved for Gustave Eiffel to entertain guests, which is now open to the public, complete with period decorations and lifelike mannequins of Eiffel and some of his notable guests.",is there a house at the top of the eiffel tower,False,True
2806,"On October 29, 2015, it was reported that the existing law would be changed to a two-child policy, citing a statement from the Communist Party of China . The new law became effective on January 1, 2016, following its passage in the standing committee of the National People's Congress on December 27, 2015.",can you have more than 1 kid in china,True,True
2810,"Legislation regarding sexual offences in the United Kingdom is devolved. Sex with an adult who is related as parent (including adoptive parent), grandparent, child (including adopted child), grandchild, brother, sister, half-brother, half-sister, uncle, aunt, nephew or niece, is illegal. In England and Wales the offence is against the Sexual Offences Act 2003 which effectively replaced the offence of incest with two new wider groups of offences: familial child sex offences (sections 25--29) and sex with an adult relative (sections 64--65). These laws are intended to protect the rights of people, so as to avoid potential violation. However, these laws still outlaw consensual sexual relationships between family members, even if they are fully willing and knowledgeable to the potential consequences. There has been some debate surrounding the rhetoric used by the Sexual Offences Review Team. Roffee discusses how the language used manipulates the reader to deem consensual familial sexual acts as illegal to the point of immoral. In Northern Ireland similar offences are against the Sexual Offences (Northern Ireland) Order 2008.",is it illegal to marry your uncle in the uk,True,True
2816,"Lynyrd Skynyrd is a Southern rock band from Jacksonville, Florida. Formed in 1964, the group originally included vocalist Ronnie Van Zant, guitarists Gary Rossington and Allen Collins, bassist Larry Junstrom and drummer Bob Burns. The current lineup features Rossington, guitarist and vocalist Rickey Medlocke (from 1971 to 1972, and since 1996), lead vocalist Johnny Van Zant (since 1987), drummer Michael Cartellone (since 1999), guitarist Mark Matejka (since 2006), keyboardist Peter Keys (since 2009) and bassist Keith Christopher (since 2017). The band also tours with two backing vocalists, currently Dale Krantz-Rossington (since 1987) and Carol Chase (since 1996).",are there any original members of lynyrd skynyrd still in the band,False,False
2838,"A SIM card contains its unique serial number (ICCID), international mobile subscriber identity (IMSI) number, security authentication and ciphering information, temporary information related to the local network, a list of the services the user has access to, and two passwords: a personal identification number (PIN) for ordinary use, and a personal unblocking code (PUC) for PIN unlocking.",is the iccid the same as the sim card number,True,True
2844,"In modern practice, the Speaker is chosen by the majority party from among its senior leaders either when a vacancy in the office arrives or when the majority party changes. Previous Speakers have been minority leaders (when the majority party changes, as they are already the House party leader, and as the minority leader are usually their party's nominee for Speaker), or majority leaders (upon departure of the current Speaker in the majority party), assuming that the party leadership hierarchy is followed. In the past, other candidates have included chairpersons of influential standing committees.",has there ever been a speaker of the house from the minority party,True,False
2874,"Once the nest has been built the male will begin courting the female, usually in the afternoon or evening. He signals his intentions by swimming around the female with flared fins, attempting to draw her to the nest where he will continue his courting display. If the female accepts the male she will begin swimming in circles with the male beneath the bubble nest. When she is ready to spawn she touches the male on either the back or the tail with her mouth. Upon this signal the male will embrace the female, turning her first on her side and finally on her back. At this point the female will release approximately five dozen clear eggs, which are immediately fertilized by the male. Most of the eggs will float up into the bubble nest. Eggs that stray are collected by the male and placed in the nest. Once all the eggs are secured in the nest, the pair will spawn again. If more than one female is present in the breeding tank, the male may spawn with all of them. The spawning sessions will continue for two to four hours, and produce between 300 and 800 eggs. Dwarf gouramis have a fecundity of about 600 eggs.(1) Upon completion, the male will place a fine layer of bubbles beneath the eggs, assuring that they remain in the bubble nest.The male will protect the eggs and fry. In 12 to 24 hours the fry will hatch, and continue developing within the protection of the bubble nest. After three days they are sufficiently developed to be free swimming and leave the nest. When the fry are two to three days old the male should also be removed or he may consume the young.",can male and female dwarf gouramis live together,True,True
2887,"Spider-Man is a fictional superhero created by writer-editor Stan Lee and writer-artist Steve Ditko. He first appeared in the anthology comic book Amazing Fantasy #15 (August 1962) in the Silver Age of Comic Books. He appears in American comic books published by Marvel Comics, as well as in a number of movies, television shows, and video game adaptations set in the Marvel Universe. In the stories, Spider-Man is the alias of Peter Parker, an orphan raised by his Aunt May and Uncle Ben in New York City after his parents Richard and Mary Parker were killed in a plane crash. Lee and Ditko had the character deal with the struggles of adolescence and financial issues, and accompanied him with many supporting characters, such as J. Jonah Jameson, Flash Thompson, Harry Osborn, romantic interests Gwen Stacy and Mary Jane Watson, and foes such as Doctor Octopus, Green Goblin and Venom. His origin story has him acquiring spider-related abilities after a bite from a radioactive spider; these include clinging to surfaces, shooting spider-webs from wrist-mounted devices, and detecting danger with his ``spider-sense''.",does spiderman make his own web in the comics,False,False
2890,"Two real-life incidents shaped A.J. Quinnell's development of the book. In the first, after the eldest son of a rich Singaporean was kidnapped by Triads for ransom money, the man refused to pay the ransom, leading to the death of his son; the refusal meant that the man's other children would not become targets. The second was the kidnapping of John Paul Getty III, the son of Paul Getty, in Rome.",man on fire is it based on a true story,True,False
2905,"The English Channel (French: la Manche, ``The Sleeve''; German: Ärmelkanal, ``Sleeve Channel''; Breton: Mor Breizh, ``Sea of Brittany''; Cornish: Mor Bretannek, ``British Sea''; Dutch: Het Kanaal, ``The Channel''), also called simply the Channel, is the body of water that separates southern England from northern France and links the southern part of the North Sea to the Atlantic Ocean. It is the busiest shipping area in the world.",is the english channel part of the north sea,False,False
2922,"The refractive index can be seen as the factor by which the speed and the wavelength of the radiation are reduced with respect to their vacuum values: the speed of light in a medium is v = c/n, and similarly the wavelength in that medium is λ = λ/n, where λ is the wavelength of that light in vacuum. This implies that vacuum has a refractive index of 1, and that the frequency (f = v/λ) of the wave is not affected by the refractive index. As a result, the energy (E = h f) of the photon, and therefore the perceived color of the refracted light to a human eye which depends on photon energy, is not affected by the refraction or the refractive index of the medium.",does refractive index vary with colour of light,False,True
2935,"Founded in 1864, Gallaudet University was originally a grammar school for both deaf and blind children. It was the first school for the advanced education of the deaf and hard of hearing in the world and remains the only higher education institution in which all programs and services are specifically designed to accommodate deaf and hard of hearing students. Hearing students are admitted to the graduate school and a small number are also admitted as undergraduates each year. The university was named after Thomas Hopkins Gallaudet, a notable figure in the advancement of deaf education.",is gallaudet the only deaf university in the world,True,False
2946,"For Germany's World Cup history, FIFA considers only the teams managed by the Deutscher Fußball-Bund, comprising three periods: Germany (during Nazi era), West Germany and reunified Germany. The Germany national football team is one of the most successful national teams at the FIFA World Cup, winning four titles, earning second-place and third-place finishes four times each and one fourth-place finish. If you consider 3rd place or better for a winning campaign, Germany's 12 victories in 19 tournaments add up to at least three more than any other nation. In addition, Germany are the only team which has stood on the podium (3rd place or better) every decade there was a tournament held--1930s, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s and 2010s. Along with Argentina, Brazil and Spain, they are one of the four national teams to win outside their continental confederation, with the title of the 2014 FIFA World Cup in South America. The team was present in 19 out of the 21 tournaments, the second most frequent, and only did not reach the quarterfinals twice, in 1938 and 2018. With this, Germany's 8th place or better (quarterfinals) in 17 out of 19 tournaments (89%) ranks highest in FIFA World Cup Finals history. It makes Germany the better team in the history of the tournament in terms of final positions, if points were awarded proportionally for a title, runner-up finish, third-place finish, semi-final and quarter-final appearances.",did germany get out of the world cup,True,True
2952,"Robert Horry and John Salley are the only players to have won championships with three different teams. Horry won seven championships: two with the Houston Rockets, three with the Los Angeles Lakers and another two with San Antonio Spurs. Salley's four NBA titles came via two championships with the Detroit Pistons and one each with the Bulls and the Lakers. Horry is also the only non-Celtic to win more than 6 times. Frank Saul and Steve Kerr are the only players to win two championships with two different teams in consecutive seasons. Saul won consecutive championships with the Rochester Royals and the Minneapolis Lakers in the 1950s, and Kerr won consecutive championships with the Bulls and the Spurs in the 1990s. Both Saul and Kerr were NBA champions four years in a row, each having participated in three-peats, Saul with the Lakers and Kerr with the Bulls.",has any nba player ever won 3 championships with 3 different teams,True,False
2963,"One's sibling-in-law is one's spouse's sibling, or one's sibling's spouse, or ones's spouse's sibling's spouse. By gender, this is specified as brother-in-law for one's spouse's brother, one's sibling's husband, or one's spouse's sibling's husband, and sister-in-law for the one's spouse's sister, one's sibling's wife, or one's spouse's sibling's wife.",are you related to your brother in law's wife,True,True
2973,"Although rhubarb is a vegetable, it is often put to the same culinary uses as fruits. The leaf stalks can be used raw, when they have a crisp texture (similar to celery, although it is in a different family), but are most commonly cooked with sugar and used in pies, crumbles and other desserts. They have a strong, tart taste. Several varieties have been domesticated for human consumption, most of which are recognised as Rheum x hybridum by the Royal Horticultural Society.",is it safe to eat raw rhubarb stalks,True,True
2978,"For nearly all models of induction cooktops, a cooking vessel must be made of, or contain, a ferromagnetic metal such as cast iron or some stainless steels. However, copper, glass, non magnetic stainless steels, and aluminum vessels can be used if placed on a ferromagnetic disk which functions as a conventional hotplate.",can we use stainless steel in induction stove,True,True
2986,"The first season was released on Netflix on July 15, 2016. It received critical acclaim for its characterization, pacing, atmosphere, acting, soundtrack, directing, writing, and homages to 1980s genre films. The series has received several industry nominations and awards, including winning the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series in 2016, and receiving eighteen nominations for the 69th Primetime Emmy Awards, including Outstanding Drama Series. On August 31, 2016, Netflix renewed the series for a second season of nine episodes, which was released on October 27, 2017. In December 2017, Netflix ordered a third season. The Duffer Brothers intend to conclude Stranger Things with a fourth or fifth season.",do all of the stranger things episodes come out at once,False,True
2989,"Jack Brod, one of the building's longest resident tenants, co-established the Empire Diamond Corporation with his father in the building in mid-1931 and rented space in the building until he died in 2008. Brod recalled that there were only about 20 tenants at the time of opening, including him, and that Al Smith was the only real tenant in the space above his seventh-floor offices. Generally, during the early 1930s, it was rare for more than a single office space to be rented in the building, despite Smith's and Raskob's aggressive marketing efforts in the newspapers and to anyone they knew. The building's lights were continuously left on, even in the unrented spaces, to give the impression of occupancy. This was exacerbated by competition from Rockefeller Center as well as from buildings on 42nd Street, which, when combined with the Empire State Building, resulted in surplus of office space in a slow market.",are there residents in the empire state building,True,False
3004,"The Opel brand is present in the most of Europe, in parts of North Africa, in South Africa, the Middle East, in Chile and in Singapore. Their models have been rebadged and sold in other countries and continents, such as Vauxhall in Great Britain, Chevrolet in Latin America, Holden in Australia and New Zealand, and previously, Saturn in the United States and Canada. Following the demise of General Motors Corporation's Saturn division in North America, Opel cars are currently rebadged and sold in the United States, Canada, Mexico, and China under the Buick name with models such as the Opel Insignia/Buick Regal, Opel Astra sedan/Buick Verano (both which share underpinnings with the Chevrolet Cruze), and Opel Mokka/Buick Encore.",can you buy an opel in the usa,True,False
3022,"As the governing body of association football, FIFA is responsible for maintaining and implementing the rules that determine whether an association football player is eligible to represent a particular country in officially recognised international competitions and friendly matches. In the 20th century, FIFA allowed a player to represent any national team, as long as the player held citizenship of that country. In 2004, in reaction to the growing trend towards naturalisation of foreign players in some countries, FIFA implemented a significant new ruling that requires a player to demonstrate a ``clear connection'' to any country they wish to represent. FIFA has used its authority to overturn results of competitive international matches that feature ineligible players.",do you have to be a citizen to play on a national soccer team,True,True
3073,"Typically, the patient fasts for ten or twelve hours before the blood is drawn for the test--this is particularly important for getting a useful blood glucose measurement. CMPs are also frequently performed on nonfasting patients, but the glucose level in those cases is not as useful. The following tests are then performed:",do i need to fast for comprehensive metabolic panel blood test,True,True
3079,"As with the franchise's anime television series, all nineteen films and the first three TV specials were licensed in North America by Funimation. Dragon Ball Z movies six and twelve received select theatrical presentations in the United States, as part of a double-feature on March 17, 2006, while movies fourteen and fifteen were given limited theatrical runs in August 2014 and August 2015 respectively. In Europe, AB Groupe licensed the second and third Dragon Ball movies, the first nine Z movies and the first two TV specials. In 2017, a 20th Dragon Ball film was announced to be released in December of the following year. The film was later revealed to be a Dragon Ball Super feature to be released in Japanese theaters on December 14, 2018, with plans for a worldwide release.",is the new dragon ball z movie coming out in theaters,True,True
3092,"In the 1888 election, Grover Cleveland of New York, the incumbent president and a Democrat, tried to secure a second term against the Republican nominee Benjamin Harrison, a former U.S. Senator from Indiana. The economy was prosperous and the nation was at peace, but although Cleveland received 90,596 more votes than Harrison, he lost in the Electoral College. Harrison won 233 electoral votes, Cleveland only 168.",has a democrat ever won the electoral college but not the popular vote,True,True
3105,"Alabama, California, Connecticut, Georgia, Massachusetts, West Virginia and Tennessee allow individuals to take the bar exam upon graduation from law schools approved by state bodies but not accredited by the American Bar Association. The state of New York makes special provision for persons educated to degree-level in common law from overseas, with most LLB degree holders being qualified to take the bar exam and, upon passing, be admitted to the bar. But in certain states (e.g., Arizona), one may not be allowed to actually take the bar exam unless one's law school is accredited by the ABA, and this requirement has withstood constitutional attack: thus, graduates of a law school without ABA accreditation may not sit for the Arizona bar, although they may take the bar in other states.",do you have to go to law school to take the california bar,True,False
3117,"The tunnel carries high-speed Eurostar passenger trains, the Eurotunnel Shuttle for road vehicles--the largest such transport in the world--and international goods trains. The tunnel connects end-to-end with the LGV Nord and High Speed 1 high-speed railway lines. In 2017 through rail services carried 10.3 million passengers and 1.22m tonnes of freight, and the Shuttle carried 10.4m passengers, 2.6m cars, 51000 coaches, and 1.6m lorries (equivalent to 21.3m tonnes of freight). This compares with 11.7 million passengers, 2.6 million lorries and 2.2 million cars through the Port of Dover.",is there a road under the english channel,True,False
